18793694
/m/027z96z
/m/027z96z
Meg Cabot
2001-12
{"/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 18
able 1
according 1
account 1
after 1
afterlife 1
against 2
agrees 1
alone 1
also 1
america 1
and 31
andy 3
any 2
around 1
arrives 1
as 9
asks 1
assures 1
at 3
attacked 1
attacking 1
attempts 2
attract 1
attributes 1
average 1
avoids 1
away 2
babysitter 1
back 5
backyard 2
backyardletters 1
barely 1
be 2
beach 1
because 5
becomes 3
becoming 1
been 2
before 1
being 1
believes 3
belonged 1
big 1
bothering 1
boy 2
brad 2
bring 1
brother 1
bugs 1
but 3
by 6
calls 1
can 1
candylike 1
caused 1
center 1
charge 1
cheating 1
clemming 1
clemmings 1
clive 1
come 1
concedes 1
concussion 1
confessing 1
confident 1
confronted 1
conservator 2
could 3
cryptic 1
cut 1
date 2
day 3
de 6
dead 2
decent 1
decides 1
declines 1
despite 1
did 1
die 2
diego 3
dinner 2
disappear 1
distracting 1
do 3
does 2
doing 1
dom 1
dominic 2
dopey 1
dr 2
drag 1
dry 1
dugup 1
easy 1
eightyearold 2
ended 1
exorcise 2
exorcised 2
exorcism 2
exorcize 1
eye 1
family 1
father 3
fear 2
fears 1
feelings 2
feels 1
felix 4
female 1
fiance 1
finally 3
find 5
finds 4
first 2
flies 1
following 1
for 7
forced 1
found 1
frightened 1
from 8
furious 2
further 1
get 1
gets 1
ghost 4
ghosts 1
gift 1
give 2
go 3
goes 1
golf 1
good 1
had 6
harassing 1
harm 1
has 1
he 13
hector 2
help 2
helped 1
helps 1
her 32
herself 2
him 9
his 4
historical 1
history 1
hole 1
home 1
honey 1
horrified 1
hot 1
hotel 3
hour 1
hours 1
how 1
however 3
huge 1
hurt 1
husband 1
if 3
in 16
inform 2
inquiring 1
install 1
interesting 1
interrupted 1
intervenes 1
is 14
it 3
jack 7
jake 1
jesse 24
job 3
join 1
juice 1
just 1
keeping 1
kill 2
kisses 1
last 1
late 1
lead 1
leave 2
leaving 1
letters 4
life 1
like 2
listening 1
living 1
livro 1
long 1
looking 1
lost 1
mainly 2
maintain 1
make 1
manages 1
marches 1
maria 10
mean 1
mediator 3
minute 1
minutes 1
misery 1
missing 1
mission 2
more 3
move 1
murder 1
museum 1
named 1
next 2
not 9
notices 1
occurring 1
of 8
on 9
only 3
or 2
orders 1
other 2
out 3
outlook 1
particularly 1
past 1
paul 8
paulwho 1
pay 1
pebble 1
people 1
person 1
persuading 1
picture 1
place 1
plan 1
plenty 1
police 1
politely 1
portrait 2
pretty 2
prevents 1
problems 1
process 1
promised 1
proper 1
ptdarkest 1
punches 1
ran 1
rather 1
realize 1
realizes 4
really 1
reassured 2
refrigerator 1
relatively 1
remains 3
resort 1
rest 1
return 1
returns 1
role 1
rope 2
routine 1
safety 1
same 1
saving 2
saying 1
says 1
see 1
selfish 1
she 19
side 1
silva 6
simon 1
slater 3
slaters 1
sleepy 1
small 1
so 3
society 1
some 1
something 1
soon 3
speculation 1
start 1
starts 1
stay 1
stepbrother 1
stepbrothertrying 1
stepfather 2
stop 1
stops 1
succeeded 1
successful 1
such 1
summer 2
surprised 1
suze 28
sweat 1
talk 2
talking 1
taunts 1
than 1
that 10
the 40
their 1
them 4
then 1
there 1
these 1
they 2
thinks 1
thirty 1
this 1
those 1
thought 1
threatened 1
throwing 1
throws 1
tie 1
time 2
tip 1
to 38
told 1
too 1
tries 1
true 1
try 1
trying 1
tubdig 1
turning 1
turns 2
unearthed 1
up 5
upset 1
usual 1
very 1
vinegar 1
waist 1
waits 1
want 3
wanting 1
warns 1
was 7
wedding 1
weird 1
wellappears 1
were 3
when 3
where 1
while 2
whiny 1
who 5
whole 1
will 4
with 7
without 1
words 1
work 1
working 2
world 3
would 1
