12144303
/m/02vr7n5
/m/02vr7n5
Jodi Picoult
2002-05-27
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
20 1
a 11
about 1
abused 1
accused 1
affair 1
after 2
although 1
an 1
and 9
anger 1
approaches 1
as 2
assistant 1
at 3
attorney 2
away 1
because 2
been 1
being 1
belief 1
believe 1
believed 1
belonged 1
best 1
blood 1
bone 1
brief 2
brothers 1
brought 1
but 1
by 1
caleb 2
character 1
child 1
clause 1
colleague 1
confirmed 1
could 1
court 1
courtroom 1
defendant 2
defense 1
despite 1
discovers 1
district 1
dna 1
ducharme 1
during 1
earlier 1
end 1
fact 2
father 6
fathers 1
fear 1
female 1
final 1
fiveyearold 1
for 1
found 3
four 1
friend 1
from 1
frost 1
glen 1
guilty 2
gwynne 4
had 9
half 1
he 1
her 3
him 1
his 3
however 1
husband 1
in 7
inexplicably 1
influence 1
is 2
it 2
jail 1
judge 2
jury 1
justified 1
killed 1
killing 1
known 1
lab 1
later 1
leading 1
led 1
made 1
maine 1
man 1
manslaughter 1
marrow 1
molested 1
molesting 1
moves 1
murder 2
named 1
nathaniel 3
nina 5
not 2
of 5
opens 1
or 1
out 1
own 1
patrick 1
poisoned 1
priest 2
prologue 1
protests 1
provocation 1
reach 1
reasonable 2
reasons 1
revealed 1
ruled 1
same 1
semen 2
sentenced 1
sexually 1
shared 1
she 4
shed 1
shooter 1
shooting 1
shoots 1
son 1
split 1
story 1
suspended 1
szyszynski 6
tests 1
that 7
the 16
their 1
therefore 1
they 1
this 1
time 1
times 1
to 5
transplant 1
trial 2
turned 1
twist 1
under 1
underpants 1
unnamed 1
using 1
verbally 1
verdict 1
very 1
visiting 1
was 5
were 2
which 1
whom 1
with 3
wrong 1
years 1
