27646672
/m/0c3vw83
/m/0c3vw83
Robert Bryce
2008-03-04

2008 1
60 1
a 3
acknowledges 1
also 1
and 2
appeal 1
argues 1
as 5
be 1
believes 1
benefits 1
book 1
bryce 2
but 1
cannot 1
case 1
cent 1
continue 1
cost 1
dismisses 1
domestic 1
economic 1
energy 5
ethanol 1
far 1
favors 1
fuel 1
gas 1
given 1
growing 1
has 1
having 1
he 4
his 1
however 1
hungry 1
imported 1
importing 1
in 3
increasing 1
independence 1
interdependence 1
is 1
it 1
its 2
later 1
longer 1
makes 1
meet 1
move 1
needs 2
nonfossil 1
of 3
oil 3
outweighs 1
per 1
power 2
prices 1
production 1
reality 1
renewable 1
requirements 1
rise 1
says 1
size 1
slogan 1
solar 1
sources 2
states 1
such 1
term 1
that 6
the 7
to 3
united 1
usa 2
will 1
wind 1
world 1
