29464624
/m/0ds7zsk
/m/0ds7zsk
John Grisham
2010
18 1
2007 1
6 1
a 5
abducted 1
americans 1
and 11
arrest 1
as 1
assault 1
away 1
been 2
black 2
body 2
boyette 3
brain 1
buried 1
by 1
case 1
confess 1
confession 1
connection 1
convict 1
convicted 1
conviction 1
creating 1
crime 1
death 2
decides 1
despite 2
deteriorated 1
dna 1
do 1
dont 1
drumm 5
ever 1
executed 1
execution 2
false 1
fights 1
flak 1
fled 1
football 1
for 2
from 1
girl 1
had 4
has 1
he 5
health 1
her 2
high 2
him 1
his 7
hours 1
in 4
injection 1
innocence 1
is 3
joplin 1
kansas 1
keith 1
law 1
lawyer 1
lethal 1
life 1
lived 1
meanwhile 1
meets 1
miserable 1
missouri 1
nicole 1
nikki 2
nine 2
no 1
of 2
on 4
only 1
order 1
past 1
place 2
player 1
police 1
priest 1
prison 1
proceeds 1
protest 1
public 1
rape 1
raped 1
reflecting 1
resting 1
reveals 1
reverend 1
right 1
robbert 1
robbie 1
row 1
samples 1
school 2
schroeder 1
sentence 1
sentenced 1
serves 1
show 1
signs 1
since 1
situation 1
slone 3
some 1
story 1
student 1
suffering 1
takes 2
teenage 1
texas 1
the 7
then 1
there 1
to 5
travis 1
tumor 1
unfazed 1
watches 1
week 1
what 1
when 1
while 2
who 1
with 4
yarber 1
years 2
