5546772
/m/0drynf
/m/0drynf
Vikas Swarup
2005
{"/m/05hgj": "Novel"}
12 1
22 1
400000 1
a 21
able 1
about 2
abused 1
actor 2
actress 2
adventures 1
after 2
against 1
aging 1
agra 2
also 2
amount 1
an 8
and 15
another 1
answer 5
answered 3
answers 1
arrest 1
as 6
asked 1
asks 1
assassination 1
at 4
australian 1
bar 1
bathroom 1
be 3
because 1
becomes 1
becoming 1
being 2
believe 2
best 1
between 1
bid 1
billion 2
bizarre 1
bollywood 3
break 1
brother 1
but 2
buy 2
by 5
cannot 1
care 1
cast 1
cheat 1
cheating 1
child 1
come 1
contestant 1
continue 1
correctly 2
cruel 1
decides 1
delhi 1
demand 1
demands 1
device 1
dictate 1
dies 1
diplomat 1
dismisses 1
do 1
doesnt 1
drawing 1
dreams 1
dying 1
each 1
employer 1
english 1
englishspeaking 1
enough 1
even 2
events 2
everywhere 1
experiences 2
explains 1
exploited 2
fair 1
falls 1
few 1
fictional 1
figured 1
find 1
first 1
flashback 1
followed 1
follows 1
for 3
foretelling 1
foretold 1
former 2
foundry 1
freedom 1
friend 2
friendly 1
from 7
future 1
game 1
get 1
gives 1
goes 1
gratitude 1
guide 2
had 3
has 3
have 4
he 13
help 1
helps 1
her 6
highlights 1
him 7
his 8
hitman 1
hospital 1
host 3
house 1
how 2
however 3
i 2
in 14
include 1
instead 1
intensive 1
is 4
it 5
its 1
jackpot 1
jobs 1
just 1
key 1
kill 1
knew 1
kumar 3
kumari 1
last 1
late 1
later 2
lawyer 2
learning 1
led 1
let 1
life 5
lifeboat 1
live 1
long 1
love 1
lucky 1
mahal 1
managed 1
marry 1
meanwhile 1
meets 1
might 1
million 1
mohammad 1
money 4
more 3
most 1
mother 1
moves 1
mumbai 2
must 1
named 2
narrated 1
needs 2
neelima 1
nita 5
nonchronologically 1
not 4
novel 3
occurred 1
of 8
on 3
one 1
only 2
or 1
original 1
orphan 1
orphaned 1
out 1
own 2
palmist 2
part 1
partly 2
pay 1
person 1
pimp 5
placed 1
planned 1
plays 1
police 2
poor 1
prem 3
priest 1
prior 1
producer 1
producers 1
professional 1
prompting 1
prostitute 1
quest 1
question 3
questions 5
rabies 2
ram 16
random 1
real 1
refuses 1
related 1
rescued 1
resulting 1
ring 1
rs 1
rules 1
rupees 1
salim 2
same 2
saving 1
says 1
shah 1
shakespeare 1
shankar 3
short 1
show 5
smita 1
so 1
some 1
sometimes 1
son 1
spy 1
start 1
steals 1
street 1
sympathetic 1
taj 1
teacher 2
tell 1
tells 2
than 2
that 6
the 33
them 1
these 1
they 6
this 1
thomas 1
those 1
through 1
tip 1
to 20
told 1
tortured 1
tour 1
tourist 1
turbulent 1
turns 1
twelve 2
uncaring 1
under 1
uneducated 2
upbringing 1
uses 1
vaccination 1
vaccine 1
various 1
very 1
w3b 1
waiter 3
was 3
wasnt 1
well 1
went 2
when 4
which 4
who 7
whose 1
will 2
william 1
willing 1
win 2
with 3
won 1
working 1
works 1
would 2
yet 1
young 4
