24965
/m/067ld
/m/067ld
Stephen Sondheim


1853 1
a 32
abe 5
about 1
access 1
across 1
act 2
action 1
admiral 2
adopts 1
advisors 1
ago 1
aid 1
air 1
all 1
allamerican 1
allegorical 1
already 1
american 2
americans 8
an 4
and 29
announces 1
answer 1
appearance 1
appears 1
appointed 1
approach 1
are 7
around 2
arrangements 1
arrested 1
art 1
as 14
ashore 1
assassins 1
assembles 1
at 2
attempts 1
away 1
bags 1
band 1
barbarian 1
be 1
beaches 1
bed 1
been 2
begin 1
begins 1
beyond 1
bid 1
black 2
bowler 1
bows 1
boy 2
brave 1
british 2
but 11
by 11
c 1
cakewalk 1
can 1
caricature 1
ceremonial 1
certain 1
changeless 1
changes 1
charged 1
child 1
chrysanthemum 1
city 1
cloaked 1
clogdancing 1
coat 1
come 1
commodore 4
conceived 1
confused 1
consorting 1
consternation 1
contaminated 1
contemporary 1
continues 1
control 1
copy 1
could 2
councillors 1
country 1
courtesy 1
covering 1
cowardly 1
cries 1
crisis 1
cutaway 1
cycle 1
dance 2
dandified 1
day 1
days 2
dead 2
dealt 1
debates 1
demonstrate 1
depart 1
departure 1
describe 1
determined 1
devils 1
devises 1
disguised 1
displaying 1
dragons 1
dress 3
drive 1
driven 1
dutch 1
elaborate 1
else 1
elsewhere 1
emperor 4
empire 1
ends 1
enjoy 1
enlists 1
enough 1
ensuing 1
events 1
exasperated 1
exchange 2
explains 1
expresses 1
extravagant 1
faced 1
faction 1
failure 1
father 1
feelings 1
figure 1
fillmore 1
find 1
fisherman 2
floor 1
followed 1
foot 1
for 7
foreign 1
foreigners 3
forging 1
formal 1
former 1
fought 1
four 1
frees 1
frenchman 1
friend 1
friendship 1
from 7
geisha 1
gentle 1
geology 1
gets 1
gift 1
gifts 1
gilbertian 1
girl 1
girls 1
gloomy 1
goodwill 1
governor 1
great 1
griefstricken 1
grow 1
harbor 1
has 5
hat 1
have 2
having 1
he 9
hear 2
hello 1
help 1
her 5
here 1
hiding 1
him 2
himself 2
his 11
history 1
home 1
house 3
i 1
if 1
ii 1
imperial 1
important 1
in 14
incomplete 1
indecision 1
inexperienced 1
influences 1
initially 1
innovation 1
instead 1
instructing 1
into 2
irish 1
is 8
island 1
it 5
its 1
itself 2
japan 10
japanese 2
journey 1
july 1
kabuki 1
kanagawa 1
kayama 9
killed 1
kills 1
lady 1
late 1
layer 2
leaps 1
leaves 2
less 1
lion 1
locals 1
long 1
lord 5
lords 1
lost 1
machines 1
madam 1
man 2
manipulated 1
manjiro 8
manners 1
march 2
markets 1
mats 1
matthew 1
may 1
meet 2
memory 1
men 2
millard 1
minnesota 1
minor 1
mistake 1
modernize 1
mother 1
moves 1
moving 1
murder 1
musical 1
must 1
negotiations 1
new 2
newcomers 1
news 1
next 1
nippon 1
no 1
not 4
nothing 1
number 1
observers 1
of 34
off 1
offering 1
okinawa 1
old 2
on 4
one 2
only 1
open 1
or 1
order 1
oriental 1
other 4
out 1
outside 1
overtures 1
owen 1
pacific 2
painstaking 1
pass 2
passed 1
peace 2
perch 1
perform 1
perry 4
place 1
plan 1
plant 1
playwright 1
pleasant 1
please 1
pleasure 1
pocket 1
poems 1
poisons 1
police 1
politically 1
pollution 1
portrayed 1
potatoes 1
power 1
powhatan 1
prefect 1
prepare 1
presence 1
present 1
president 1
pretty 1
promoting 1
prompted 1
proudly 1
pulls 1
puppet 2
raised 1
rank 1
reacts 1
real 1
recalling 1
received 1
reciter 2
rejected 1
relate 1
removed 1
reporting 1
request 1
rescued 1
restless 1
result 1
return 1
returns 2
reveal 1
rice 1
ritual 1
roaring 1
robes 2
rumbling 1
russian 1
sailors 1
samurai 2
save 1
saved 1
says 1
scene 1
sea 2
seduction 1
see 2
seems 1
seen 1
seiko 1
seizes 1
send 1
sent 2
seppuku 1
serenity 1
set 2
shame 1
she 1
shell 1
shogun 7
show 1
sight 1
silent 1
since 2
situation 1
six 1
slowly 1
slowness 1
soil 1
someone 1
sort 1
sousa 1
south 1
stirrings 1
storyteller 1
strutting 1
such 1
surprise 1
takes 1
tale 1
tamate 2
tars 1
tatami 1
tea 3
technically 1
tells 1
thanks 1
that 4
the 71
their 5
them 1
themselves 2
then 1
there 5
they 4
thief 1
this 2
though 1
thoughts 1
threat 1
threaten 1
three 2
through 3
time 1
to 32
too 1
toyota 1
trade 1
trading 1
traditional 1
treaty 2
tree 2
triumphalist 1
trouble 1
trousers 1
tshirt 1
tune 1
turmoil 1
two 3
ultimatum 1
up 1
uraga 3
uss 1
version 1
vivid 1
vows 1
vying 1
warn 1
warrior 1
wars 1
warships 1
was 3
watch 1
watcher 1
waters 1
way 1
welcome 3
were 3
western 1
westernization 1
when 1
which 3
who 7
wife 1
will 3
with 12
within 1
without 2
witnesses 1
won 1
world 1
years 1
young 2
