199525
/m/01cbb_
/m/01cbb_
Sylvia Plath
1963
34reaction34 1
50 1
a 25
about 4
academically 1
accepted 1
administered 2
adventurousness 1
after 1
afterward 1
again 2
age 1
all 3
almost 1
along 1
also 2
although 1
always 1
amount 1
amounts 1
amusing 1
an 2
and 19
another 1
antidepressant 1
appeal 1
appreciates 1
are 3
as 5
at 7
attempt 1
attempts 1
attractive 1
author 1
awful 2
baby 1
back 1
banquet 1
based 1
be 2
because 1
becomes 1
been 2
before 1
being 2
bell 2
benefactress 2
beneficial 1
betsy 1
big 1
boston 1
breath 1
buddy 1
but 3
by 6
can 1
careers 1
cee 1
cellar 1
centered 1
charming 1
childbearer 1
choices 1
city 3
consequences 1
considers 1
convincingly 1
conway 1
course 2
cowgirl 1
crawls 1
culture 1
dated 1
day 1
de 1
dead 1
death 1
decide 2
decides 1
depressed 1
depression 1
describes 3
detail 1
diaphragm 1
different 1
discovered 1
disorient 1
do 1
doctor 1
dodo 1
does 1
doesnt 1
doing 1
doreen 1
dr 6
dramatic 1
dubbed 1
during 3
ect 2
editor 1
effect 1
electroconvulsive 1
electrocuted 1
emulate 1
encourages 1
ends 1
enough 1
ensuring 1
entering 1
envies 1
episode 1
esther 11
esther3s 1
ethel 1
events 1
excited 1
execution 2
exemplified 1
expected 1
experience 2
experiences 1
facto 1
family 1
far 1
fears 1
feeling 1
feels 4
felt 1
female 2
fianc 1
fiction 1
finds 1
fits 1
for 8
forces 1
formerly 1
free 2
freedom 1
friend 2
frighten 1
from 3
funded 1
gains 1
get 1
getting 1
girl 1
girls 2
given 2
glamorous 1
go 1
goodygoody 1
gordon 1
greenwood 1
guinea 2
had 1
halfhearted 1
has 6
have 3
he 2
help 1
her 35
herself 1
higgins 1
himself 1
his 1
home 2
hoped 1
hospital 3
hospitalization 1
house 1
how 1
huge 1
i 3
identifies 1
identity 1
idolize 1
immediately 1
improperly 1
improves 1
in 8
incidents 1
including 1
increasingly 1
indeterminate 1
insomnia 1
instead 1
institution 1
insulin 1
internship 2
interview 1
into 1
is 9
it 2
jar 2
jay 1
julius 1
kicked 1
kidnapping 1
knew 1
know 1
ladies 1
later 1
leave 1
leaves 2
less 1
life 2
lifechanging 1
lifestyle 1
lifting 1
like 4
listening 1
long 1
looked 1
low 1
magazine 2
make 1
makes 1
making 1
man 1
married 1
massachusetts 1
meets 1
men 1
mental 2
metaphorical 1
mistrusts 1
more 1
mother 4
motherhood 1
muses 1
my 2
neither 1
new 2
newspapers 1
nolan 5
nor 1
not 2
note 1
novel 2
now 1
occur 1
of 16
off 2
olive 1
on 1
once 1
opportunity 1
or 3
out 1
over 1
paused 1
pay 1
people 2
perhaps 1
philomena 2
picture 1
piety 1
pills 1
place 1
pollyanna 1
potentially 2
pregnant 1
prescribed 1
prescribes 1
presented 1
pressures 1
presumed 1
previous 1
private 1
produce 1
prolific 1
prominent 1
properly 1
prouty 1
psychiatrist 1
psychotherapy 1
rather 2
receives 1
refers 1
regain 1
regular 1
reminisces 1
return 2
returns 1
right 2
room 1
rosenberg 1
rosenbergs 2
sanity 1
sarcasm 1
says 1
scheduled 1
scholarly 1
school 1
sea 1
see 1
seems 1
sent 1
seriocomic 1
serious 1
seriously 1
sessions 1
several 2
sex 1
she 29
shock 1
showing 1
sleep 1
sleeping 1
smiled 1
some 1
sorority 1
sort 1
spend 1
spirits 1
staff 1
state 1
stay 2
stenography 1
stereotypical 1
stifled 1
stimulated 1
struggling 1
suburbs 1
successful 1
such 1
suicide 1
summer 2
survives 1
swallows 1
swimming 1
taking 2
taught 1
tells 3
than 1
that 9
the 25
then 1
therapist 1
therapy 1
they 1
thing 1
those 2
time 2
to 20
trapped 2
treatments 2
unable 1
under 4
unfortunate 1
unsure 1
upon 2
vacuous 1
various 1
walk 1
was 1
wasnt 1
well 1
what 2
where 1
whether 1
which 2
who 5
whom 2
will 2
with 4
witty 1
woman 2
wont 1
worldfamous 1
worries 1
worsens 1
write 1
writer 1
writing 2
wrong 1
york 2
youd 1
young 1
