11019466
/m/02qy7_k
/m/02qy7_k
Emilio Salgari

{"/m/08sdrw": "Adventure novel"}
a 3
adventure 2
ages 1
all 1
america 1
and 2
antille 1
as 2
bands 1
barrejo 1
buttafuoco 1
by 2
captivating 1
caribbean 1
cast 1
central 1
characters 1
colorful 1
conquests 1
corsair 2
count 1
delighted 1
delle 1
di 1
don 1
emilio 1
enrico 1
faithful 1
for 1
has 2
he 2
helped 1
his 1
humor 1
in 2
incomparable 1
is 3
it 1
many 1
mendoza 1
met 1
mixture 1
most 1
never 1
noblemanturnedbuccaneer 1
of 12
one 1
part 1
pirates 1
pirati 1
readers 1
red 2
referred 1
romance 1
salgari 1
search 1
series 1
son 2
spanish 1
stepsister 1
stories 1
story 1
that 1
the 13
through 1
to 1
travels 1
usually 1
ventimiglia 1
written 1
years 1
