3605768
/m/09ph3p
/m/09ph3p
Brian Aldiss
1958
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
23 2
4times 1
a 13
acid 1
after 1
against 1
alien 1
all 2
almost 1
also 1
amino 1
an 3
and 11
are 7
as 1
at 1
atmosphere 1
attack 1
attempting 1
aware 1
battle 1
be 2
because 1
been 4
began 1
begin 1
beings 1
belief 1
benevolent 1
board 2
briefly 2
brutish 1
by 3
can 1
captured 1
catastrophe 1
caused 1
centre 1
change 1
civilization 2
cold 1
collapse 1
colluding 1
colonised 1
command 1
complain 6
composite 1
conclude 1
conditions 1
conflict 1
consequent 1
considered 1
control 2
corridors 2
crewmember 1
culturallyprimordial 1
curiosity 1
deduce 1
despairingly 1
destroyed 1
developing 1
development 1
discouraged 1
discoveries 1
due 1
earth 7
earthhumans 1
emergency 1
encounter 1
encourages 1
ends 1
enemies 1
engage 1
ensuring 1
entire 4
entirely 1
epidemic 2
eventually 2
expanse 1
expedition 1
explanation 1
faster 1
feared 1
find 1
for 1
force 1
forward 2
forwards 3
found 1
from 4
furtive 1
gain 1
gargantuan 1
generally 1
generation 1
generations 3
giants 6
granted 1
group 2
had 1
has 2
have 9
he 1
here 1
him 1
his 4
home 1
however 3
human 1
humanity 1
humanoid 1
humans 2
if 1
improve 1
in 5
infiltrate 1
infiltrated 1
infinite 1
inhabitants 2
integrate 1
interest 1
into 5
irredeemably 1
is 8
it 3
its 2
join 2
journey 1
kidnapped 1
knowledge 2
law 1
learn 2
leaves 1
legend 1
levels 1
life 1
live 1
lives 1
living 1
lost 1
marapper 2
meanwhile 1
mechanisms 1
merely 1
moored 1
more 1
moving 1
multigenerational 1
mutated 1
mysterious 1
named 1
nasty 1
new 1
newly 1
no 1
nomadically 1
normal 1
novel 1
now 2
number 1
of 15
officer 1
on 4
only 1
order 2
other 2
outside 1
outsiders 3
overrun 1
pandemic 1
parts 1
party 1
passed 2
perception 1
place 1
planet 2
plummeting 1
poor 1
population 2
prepare 1
previous 1
priest 1
procyon 2
protagonist 1
purpose 1
quickly 1
rate 1
reach 1
recent 1
release 1
reluctant 1
repairing 1
retaliate 1
return 1
returning 1
revealed 1
reviled 1
roam 1
romantic 1
room 1
roy 1
rulers 1
ship 4
shipdwellers 1
ships 2
short 2
should 1
since 2
six 1
sized 1
slowly 1
small 2
societies 1
society 1
solitary 1
sophisticated 1
sophistication 1
space 1
spacecraft 5
split 1
starship 1
start 1
study 1
suffered 1
survivors 1
taken 1
termed 1
territory 1
than 1
that 9
the 43
their 2
then 1
they 6
this 1
though 2
thought 1
through 1
throughout 1
to 13
tribal 1
tribe 2
tribes 1
uncertain 1
uncharted 1
unexplored 1
universe 1
unknown 1
unusually 1
various 1
varying 1
vegetation 1
ventures 1
vessel 3
vyann 1
was 1
waters 1
when 1
where 1
who 4
wife 1
will 3
with 2
world 1
years 1
