17126431
/m/043psql
/m/043psql
Lisa See
1999
14 1
17 1
17china 1
24 1
a 6
about 2
adequate 1
alliance 1
american 3
an 3
and 8
are 4
as 1
at 3
because 1
before 2
begins 1
between 1
blade 1
blowing 1
blows 1
businessmen 1
by 1
capitalism 1
centers 1
changing 1
characterized 1
china 3
chinese 3
communism 1
completely 1
concludes 1
conniving 1
could 1
dangers 1
daughter 1
david 1
days 1
death 2
deng 1
describes 1
detail 1
different 1
directions 1
do 1
economic 1
economy 1
elisabeth 1
end 1
ends 1
enough 1
especially 1
exploit 1
face 2
factories 1
factory 4
fields 1
fire 1
flower 1
for 1
forget 1
free 1
friend 1
from 1
grass 1
great 1
had 2
her 4
himself 1
home 1
hulan 2
in 9
interior 3
is 2
it 1
jiang 1
lacks 1
lisa 1
located 1
making 2
many 1
march 1
market 2
miaoshan 3
money 1
month 1
more 1
mother 1
murder 1
murders 1
mystery 1
narrator 1
net 1
never 1
no 1
nothing 1
novel 2
of 11
on 1
one 1
only 1
open 1
paid 1
part 1
period 1
personal 1
perspective 1
plot 1
points 1
poorly 1
post 1
postdeng 1
power 1
problem 1
profit 1
protect 1
protections 1
providing 1
quotes 1
related 1
remote 1
role 1
safety 1
saying 1
see 2
setting 1
several 1
sherwin 1
small 1
so 1
socialism 1
solution 1
solve 1
somewhat 1
speaking 1
speaks 1
stores 1
suchee 2
summer 1
terms 1
that 2
the 28
their 1
these 2
they 3
those 1
times 1
to 6
toy 4
trap 1
unable 1
unholy 1
up 1
value 1
villages 1
virtual 1
was 3
went 1
where 1
which 1
wind 2
with 4
women 5
work 1
workers 1
working 4
xiaoping 1
zemin 1
