20899493
/m/05b203p
/m/05b203p
Erin Hunter
2009-04-21
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 11
about 3
accidentally 1
after 3
ago 1
agree 1
although 1
an 2
and 18
angered 1
angry 1
another 1
any 1
are 4
around 1
as 4
ashfoot 1
ashfur 8
asking 1
asks 1
at 3
back 2
be 1
begins 1
being 3
belonged 1
besides 2
birchfall 1
birth 3
body 1
border 1
born 1
both 3
brackenfur 1
brambleclaw 2
breezepelt 2
brothers 1
but 2
by 1
came 1
camp 4
cat 5
cats 1
certain 1
clan 2
claws 1
clearing 1
cloudtail 1
collapse 1
come 1
confused 1
crow 1
crowfeather 2
curious 1
day 1
dead 1
deliver 1
den 1
denies 3
did 1
die 1
discovers 1
discusses 1
does 1
dream 1
during 1
elder 1
ever 1
everyone 1
father 2
feather 1
feels 2
finally 1
find 4
finds 1
firestar 3
for 1
found 2
freshkill 1
fur 3
gathering 1
go 1
goes 2
going 1
granddaughter 1
guard 1
has 1
hazeltail 1
he 8
her 4
herb 4
herbs 2
him 5
his 4
hollyleaf 8
how 1
however 1
in 10
informed 1
into 1
is 10
it 3
jayfeather 8
keeping 1
kept 1
killed 3
killing 1
kits 5
know 1
knows 1
leads 1
leafpool 7
learning 1
learns 1
leaves 2
lies 1
lionblaze 3
littermates 1
littlecloud 1
live 1
lives 1
long 1
longused 1
looking 1
many 1
mean 1
medicine 3
meet 1
milk 1
moonpool 1
most 1
mother 2
mousefur 4
murder 1
must 1
mystery 1
near 1
nephew 1
never 1
nightcloud 1
not 2
nothing 1
of 12
off 1
on 1
one 1
onestar 1
only 1
out 4
outraged 1
over 1
parents 2
parsley 1
part 1
patrol 4
paw 1
pelt 1
persuades 1
possibility 1
process 1
prophecy 1
proud 1
purdy 3
put 1
realizes 2
recognizes 1
remembers 1
repeating 1
response 1
returns 1
revealing 1
reveals 2
ritual 1
runs 1
says 1
secret 3
secrets 1
seeing 1
send 1
sends 2
shadowclan 1
she 4
showing 1
sight 1
sighted 1
since 1
sol 6
some 1
something 1
soon 1
squirrelflight 1
starclan 3
states 1
sticking 2
still 1
stops 1
strange 1
sundrownplace 1
sunrise 1
tansy 1
tell 1
tells 3
that 13
the 41
their 2
there 1
think 1
third 1
this 1
thought 1
three 3
through 1
thunderclan 3
time 2
to 23
too 1
tries 1
true 2
truth 2
tuft 2
tunnels 1
twolegplace 1
under 1
walking 1
was 2
watches 1
were 2
what 1
when 3
where 1
which 1
while 1
whitewing 1
who 3
whose 2
will 1
windclan 4
with 3
wrong 2
yellowfang 1
you 2
