84104
/m/0lfp0
/m/0lfp0
Jean Anouilh


a 3
against 1
an 1
and 2
archbishop 1
as 3
ascends 1
ascetic 1
becket 3
becoming 1
begins 1
being 1
best 2
between 1
but 1
by 1
canterbury 1
church 1
clever 1
companion 1
conflicts 1
created 1
does 1
enemy 1
episcopicide 1
find 1
for 1
friend 1
he 1
hedonistic 1
henry 2
his 1
ii 1
into 2
is 3
king 4
kings 1
lastly 1
latter 1
nobles 1
of 5
penance 1
play 1
power 2
preserve 1
reenactment 1
result 1
rights 1
several 1
slaughtered 1
the 10
thomas 1
thrust 1
to 2
transformed 1
ultimately 1
we 1
who 1
