16843669
/m/04080z_
/m/04080z_
Mo Yan
2000
{"/m/06nbt": "Satire", "/m/05hgj": "Novel"}
1 3
2 3
2140 1
3 3
4 3
48yearold 1
a 22
academy 1
according 1
accuses 1
across 1
adaption 1
after 2
ahead 1
alcohol 4
also 1
amounts 1
an 3
and 17
appears 1
arm 1
as 1
aspiring 1
assessed 1
assistance 1
at 2
attempt 1
author 2
away 1
baby 4
banquet 2
be 2
become 1
been 1
blessing 1
body 4
bolder 1
boy 8
boys 1
brewers 1
bring 1
by 4
calls 1
candidate 1
cannibalism 2
capacity 1
centrepiece 1
child 2
children 1
chinese 1
citizens 1
claims 2
coal 1
collapses 1
college 1
comatose 1
commenting 1
company 1
comparing 1
convinces 1
copious 1
created 1
culinary 2
day 1
delicious 1
delivering 1
demon 3
demonic 1
deputy 1
diamond 3
ding 6
director 2
dish 2
dishes 1
does 1
draws 1
drink 1
drinking 2
drunk 1
eat 1
editors 1
enters 1
event 1
eventually 1
expansive 1
experience 1
explains 1
fake 2
father 1
feast 1
fictional 1
film 1
fires 1
follows 1
for 2
from 3
further 1
get 1
gets 1
gift 1
girls 2
go 1
goad 1
gouer 1
gourmet 1
grade 1
greeted 1
grim 1
gun 2
has 3
have 2
he 10
head 2
him 2
himself 1
his 11
hold 1
honour 1
host 1
hotel 1
how 1
human 1
if 2
immediately 1
implements 1
in 8
includes 1
informs 1
insists 1
into 1
introductory 1
investigate 1
investigator 1
is 11
it 3
jin 5
joins 1
journey 1
judged 1
lady 1
lead 1
letter 3
li 15
lift 1
liquor 1
liquorland 2
literature 1
little 1
lotus 1
lu 1
luo 1
masterpiece 1
meal 1
meat 3
mine 3
mo 9
mount 1
my 1
name 1
not 1
notorious 1
novel 1
now 1
of 13
official 1
on 2
one 1
onepint 1
ong 1
other 1
out 1
paid 1
panics 1
parents 2
party 3
perturbed 1
phd 1
prepare 1
prepared 1
presence 1
prodigy 1
province 1
published 2
purchasing 2
quite 1
realism 2
recovers 1
red 2
reply 3
requests 1
required 1
revealed 1
river 1
room 2
root 1
same 1
saying 1
scalyskinned 1
second 2
secretary 2
section 2
sent 2
serving 2
shooting 1
short 4
sitting 1
small 1
smells 1
soberingup 1
sold 1
somewhat 1
son 2
sons 1
sorghum 1
soup 1
special 4
staff 1
stork 1
story 6
strips 1
studies 1
style 1
taken 2
takes 1
taking 1
that 3
the 26
their 1
them 2
there 2
third 1
to 23
top 1
treat 1
trucker 1
two 1
underground 1
up 1
useful 1
village 1
waits 1
watching 1
well 1
were 1
where 2
which 1
while 1
who 1
whole 1
wildly 1
with 4
witnesses 1
wrote 1
xun 1
yan 3
yidou 3
you 2
yuan 1
yuanbao 1
