16771582
/m/0405l9t
/m/0405l9t
Victor Appleton
1912
{"/m/03mfnf": "Young adult literature", "/m/08sdrw": "Adventure novel"}
a 2
adventurous 1
airship 1
and 3
approached 1
around 1
at 1
be 1
but 1
by 1
company 1
content 1
crowds 1
declines 1
draw 1
eventually 1
exciting 1
exotic 1
films 1
first 1
for 1
friends 1
he 1
hire 1
his 2
hoping 1
in 1
is 2
james 1
longterm 1
motion 3
mr 1
noiseless 1
of 2
oldtime 1
on 1
out 2
owner 1
period 2
picture 1
pictures 2
places 1
project 1
reality 1
sets 1
shown 1
some 1
still 1
strange 1
streak 1
swift 1
take 1
that 1
the 3
theaters 1
these 1
to 2
tom 4
travel 1
wants 1
when 1
will 2
wins 1
with 1
working 1
world 1
