1363780
/m/04wwm_
/m/04wwm_
Alan Hollinghurst
1988-08-12
{"/m/02xlf": "Fiction"}
21 1
a 66
abandoned 1
abdul 3
about 6
abusive 1
accepts 1
accidentally 1
act 1
action 1
address 1
administrator 1
african 6
after 2
afterwards 2
again 1
age 2
aggressive 1
agrees 1
aids 1
album 1
alcoholic 1
alienates 1
all 2
almost 2
aloud 1
already 1
also 2
american 1
an 15
and 78
anonymous 2
answer 1
apparently 1
appears 1
applies 1
archaeologist 1
archive 1
are 8
area 1
argentine 1
argument 1
arises 1
arousal 1
aroused 1
arrested 1
arrests 1
art 1
arthur 10
arthurs 1
artifice 2
artificial 1
as 12
asks 1
at 15
atmosphere 1
attack 2
attempts 1
attracted 3
attractive 1
avoid 1
aware 1
away 1
back 2
background 1
badly 1
barechested 1
bathroom 1
bathrooms 1
be 2
beaten 2
beaton 1
beautiful 3
beauty 1
became 1
beckwith 3
becomes 1
bedroom 1
been 9
begins 3
behind 1
being 2
believes 1
benjamin 1
best 1
between 2
bill 6
billy 1
biography 3
black 3
bleeding 1
body 1
bodybuilder 2
books 1
boredom 1
bouts 1
boxers 1
boxing 1
boy 8
boyhood 1
boys 1
brazilian 1
british 1
brittens 1
brother 5
brutal 1
budd 1
built 1
but 7
by 14
call 1
calls 2
camp 2
can 1
cannot 1
carrying 1
case 1
cecil 1
cellar 1
central 2
champagne 1
charles 22
charless 14
chef 1
cinema 3
class 2
clear 1
close 1
closes 1
club 5
clubbing 1
clubs 1
coaches 2
collaborating 1
collapses 1
collect 1
colonial 1
colonialism 1
comes 1
comparatively 1
compared 1
complex 1
confinement 1
consent 1
conservative 1
continues 1
conventions 1
conversation 1
corinthian 1
corry 7
costumes 1
cottaging 1
country 1
course 1
covertly 1
cowrote 1
cruelly 1
cruises 2
cruising 1
cruisy 1
cultivated 1
culture 1
currently 1
curt 1
cut 1
dance 1
deals 1
death 3
decides 1
decrepitude 1
deeper 1
deeply 1
demand 1
describes 1
descriptions 1
designs 1
desperate 1
despite 3
destroyed 1
destroying 1
devoted 2
devotion 2
diaries 6
diary 1
died 1
discovers 3
discretion 1
disoriented 1
distant 1
disturbed 1
do 1
doctor 1
does 1
drawn 1
drink 2
drinking 1
drugs 1
during 1
duties 1
duty 1
e 1
early 1
echoes 2
edition 1
educating 1
effete 1
egypt 1
elder 1
elite 1
embarrassing 1
emotional 1
enchanted 1
enchantingly 1
encounter 1
encounters 2
engage 1
entered 1
entering 1
enters 2
entirely 1
episode 1
erupts 1
estate 1
even 1
example 1
exercises 1
exhibition 1
exhibits 1
existence 1
expected 1
experience 1
experienced 1
experiences 1
exploited 1
explored 1
expression 1
extraordinary 1
extreme 1
faade 1
fantastic 1
fear 2
fearful 1
feelings 1
feels 1
filled 2
film 2
films 1
find 4
finds 5
firbank 6
firbanks 1
first 2
flat 1
flees 1
for 8
foreign 2
formal 1
forster 1
foster 1
foundation 1
fraught 1
friend 2
friends 1
from 6
frustrated 1
gavin 4
gay 12
gently 2
get 1
gets 2
getting 1
gift 1
given 1
gives 1
giving 1
go 2
goes 8
gossipy 1
grandfather 5
grandson 1
great 1
group 2
grown 2
had 4
hangs 1
hardworking 1
harold 3
has 17
have 3
having 2
he 45
heart 1
heir 1
her 1
here 1
highly 1
him 17
himself 2
his 37
historian 1
history 2
home 8
homoerotic 3
homoerotica 1
homosexual 3
homosexuality 3
homosexually 1
hotel 2
house 4
how 2
hunting 1
husband 1
idealized 1
illustrates 1
image 1
imprisoned 1
in 27
incident 1
including 2
indecency 1
indeed 1
inexperience 1
injured 1
insane 1
insatiable 1
insecure 2
inside 1
intelligence 1
intended 1
intercourse 1
interested 1
into 1
invites 2
ironic 1
irony 1
is 56
it 6
james 8
jamess 2
jealously 1
kept 1
killed 1
knew 1
knows 2
land 1
large 1
later 1
law 1
learn 3
learning 1
learns 5
leaves 3
leisured 1
lewis 3
library 1
libretto 1
life 3
likewise 1
literary 1
lives 1
locked 1
lodge 1
lodgings 1
london 3
look 2
lord 1
love 1
loveaffair 1
loved 1
lover 1
loves 1
lunch 1
m 1
made 1
make 1
man 18
mans 1
many 1
married 2
masterservant 1
match 1
means 1
meet 1
meets 2
melancholy 1
member 1
members 1
memorabilia 1
men 8
met 2
middleage 1
minor 1
modest 1
money 1
months 1
mosaics 1
most 1
much 1
muscular 1
naha 1
named 1
nantwich 8
nantwichs 1
natural 1
need 1
nephew 1
night 2
no 3
noneventful 1
nongay 1
nor 1
north 1
not 4
notes 1
novel 6
novels 1
novice 1
now 3
objectified 1
obsessed 1
obviously 1
occasionally 1
of 42
off 1
offers 1
officer 1
oiled 1
old 4
older 2
on 12
one 5
openly 1
opens 1
opera 2
oppression 1
order 1
other 1
out 2
outed 1
overtly 1
own 2
oxford 1
paintings 1
papers 1
park 1
part 1
passionately 1
past 3
patches 1
patron 1
