7266985
/m/025xqm8
/m/025xqm8
Katherine Kurtz
1986
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
1125 1
a 31
accept 1
accident 2
accidentally 1
accompanied 1
acknowledged 1
act 1
activate 1
additional 2
adept 1
adjusting 1
admits 2
affection 1
after 4
afterwards 1
again 1
agree 1
agrees 1
aid 1
alaric 1
alive 1
all 3
allows 1
almost 1
along 1
although 5
among 1
an 5
and 38
angry 1
another 1
anxiously 1
approximately 1
arcane 2
archbishop 1
are 7
argument 1
arilan 3
as 8
assistance 1
at 1
attack 2
attempting 1
attempts 1
attraction 1
authority 1
awaken 1
be 1
beach 1
becoming 1
been 2
before 2
begin 1
begins 2
believing 1
below 1
between 1
binding 1
birth 1
bishop 2
bishops 2
bodies 1
body 3
both 4
breaking 1
bride 1
brief 1
briefly 1
but 3
by 5
camber 7
camberian 2
cannot 1
captors 1
captured 1
cardiel 1
carrying 1
castle 1
causes 1
causing 1
cavern 1
centuries 1
ceremony 1
challenges 1
child 1
claron 2
clue 1
collapses 1
comatose 1
combined 1
commitment 1
companions 1
completely 1
conall 23
conclude 1
confesses 1
confirm 1
confirming 1
confirms 1
conjuring 1
consider 1
consternation 1
contacting 1
continue 1
continuing 1
control 1
conversation 2
convince 2
convinces 2
corpse 1
corwyn 2
council 2
court 1
cousin 2
covers 1
crimes 1
crowned 1
culdi 1
curia 1
current 2
day 1
days 2
de 2
dead 3
deadly 1
deal 1
death 5
declares 1
deep 1
deeper 1
defeats 1
defiantly 1
denis 1
depart 1
departure 1
deryni 5
designed 1
desperate 2
desperately 1
despite 2
determined 1
develop 1
dhugal 14
did 1
disappear 1
discover 1
discovers 2
discuss 2
doubt 1
down 1
drugs 1
duel 1
duke 1
duncan 12
during 3
each 2
earl 2
early 1
earn 1
ecclesiastical 1
embarks 1
emerges 1
encounter 1
energy 1
escape 1
events 1
eventually 2
execution 1
exploring 1
faces 1
fall 1
family 1
father 3
fellow 1
few 1
finally 2
find 2
first 1
flight 1
following 1
for 13
found 1
four 1
freedom 1
from 6
fuels 1
further 1
great 1
grief 2
group 3
growing 1
gwynedd 2
haldane 5
hallaj 1
has 2
have 3
he 13
heal 1
healing 1
heals 1
heir 2
her 6
heritage 1
hidden 2
hills 1
him 3
himself 1
his 23
honor 1
however 2
identify 1
image 1
immediately 2
imprisoned 1
in 7
incapacitated 1
incident 1
including 1
inform 2
informing 1
informs 2
inherited 1
injuries 1
instantly 1
into 2
is 10
jealousy 1
keep 2
kelson 29
killing 1
king 11
knighted 1
knowledge 2
lands 1
lashes 1
later 4
leaves 1
left 1
legal 1
legitimacy 1
longer 1
lost 1
love 3
macardry 1
macrorie 1
magical 1
make 1
man 2
march 1
marriage 2
married 1
marry 3
marrying 1
mclain 1
meanwhile 3
meets 2
member 2
members 2
midjune 1
mind 1
missing 1
months 2
morgan 8
morning 1
moves 1
much 1
must 1
mysterious 2
near 1
neck 1
need 1
nephew 1
new 3
next 1
nigel 7
night 1
no 2
novel 1
novice 1
nur 1
observed 1
occurs 1
of 38
on 4
one 1
ongoing 1
or 1
other 1
out 2
own 2
pair 1
part 1
party 4
pass 1
perform 1
period 1
pilfers 1
place 1
playing 1
plot 1
portal 1
position 1
potential 2
powerful 1
powers 2
pressures 1
presumed 1
priest 1
priestly 1
prince 5
princess 1
prisoner 1
probes 1
proceed 1
promises 1
promising 1
prove 1
provides 1
publicly 1
pupil 1
pursue 1
queen 1
quest 4
quickly 2
rainsoaked 1
reach 1
receives 1
recent 1
refusal 1
refuses 2
regent 2
released 1
relics 1
religious 1
remained 1
rendezvous 1
responsibilities 1
restore 1
restores 1
results 1
return 3
returns 2
reveals 2
rhemuth 6
riding 1
ritual 3
river 3
role 1
rothana 8
royal 2
ruins 1
saint 7
same 1
satchel 1
search 1
secret 1
secretly 1
secure 1
semireligious 1
series 1
servants 2
several 2
she 2
shortly 1
shoves 1
slowly 1
small 1
son 2
stairs 1
state 1
status 2
steep 1
still 1
stricken 1
struggle 2
submits 1
subterranean 1
succeed 1
summer 1
surprisingly 1
survival 1
survived 1
survives 1
surviving 1
survivors 1
suspect 1
swept 2
taken 1
talent 1
teacher 1
tells 1
that 9
the 65
their 9
them 1
themselves 1
then 3
thereafter 1
they 8
thomas 1
three 1
throne 1
through 2
thus 1
tiercel 9
to 46
tomb 1
tombs 2
took 1
toward 1
tragedy 1
trail 1
transfer 1
travel 1
traveling 1
travels 2
treachery 1
treason 1
treat 1
trial 5
tribunal 1
tries 1
trueborn 1
two 4
unable 1
uncle 1
undergo 1
underground 3
unleashes 1
until 1
urging 1
use 1
uses 1
valoret 2
vision 3
vocation 1
vows 1
waits 1
wake 1
walls 1
was 1
way 2
when 4
where 4
which 2
while 5
who 5
whose 1
will 1
with 9
within 1
work 1
working 1
worthiness 1
worthy 1
year 1
years 1
