4831837
/m/0cq23z
/m/0cq23z
Jerry Pournelle

a 15
abandoned 1
ability 1
about 1
access 2
action 1
actual 1
advanced 1
after 1
aided 1
all 1
among 3
an 4
and 19
angelenos 4
angeles 7
ante 1
antitechnology 1
apartments 1
appearance 1
arcology 12
are 7
area 2
areas 1
arrest 1
arrived 1
art 1
as 7
at 4
attack 2
authorities 2
base 1
be 2
being 1
between 1
bomb 2
bonner 1
both 2
boxes 1
brains 1
but 3
by 12
californians 1
cameras 1
can 1
cause 2
causes 3
charged 1
chief 1
city 5
codes 1
company 2
compared 1
complain 1
computer 1
construction 2
constructs 1
contains 1
contaminating 1
correct 1
country 1
course 1
culture 1
deadly 1
deaths 1
defeated 1
defenses 2
defy 1
deputy 1
destroyed 1
destruction 1
detected 1
deter 1
devolving 1
different 1
digging 1
direct 2
dollars 1
dug 1
duped 1
during 1
dwellers 1
earth 1
easy 1
effect 1
electronic 1
engineer 1
enjoyed 1
equipment 2
even 1
every 1
evolution 1
evolved 1
exchange 1
executives 2
face 1
fail 1
feudal 1
fiercely 1
for 3
forced 1
forcing 1
free 1
friends 1
from 1
fromate 1
fromates 2
fullfledged 1
future 1
gas 2
genius 1
give 1
going 2
happens 1
harming 1
has 3
have 3
hence 1
hide 1
high 1
higher 1
highlevel 1
himself 1
hub 1
huge 1
icebergs 1
idea 1
if 1
implants 1
improved 1
in 13
including 2
into 3
intruders 3
is 6
it 3
its 3
jail 2
jailbreak 1
just 1
killed 1
killing 1
kind 1
labels 1
later 1
launches 1
leave 1
lethal 3
limits 1
links 2
lives 1
living 1
los 7
loyal 1
loyalty 2
lunar 1
machine 1
maintenance 1
mall 1
man 1
management 1
manager 2
may 1
means 4
millie 3
monitored 1
most 1
murder 1
named 1
near 1
nonlethal 2
not 1
notable 1
novel 1
obligations 1
of 17
off 3
officials 1
on 1
one 1
only 1
opens 1
operates 1
operators 1
or 1
order 1
orders 1
other 1
out 2
outside 2
owns 1
oxyhydrogen 1
part 1
permanently 1
personnel 1
planned 1
point 1
political 1
prepared 1
preston 1
prevent 1
privacy 1
private 2
problems 1
prove 1
quite 1
quo 1
quote 1
race 1
rand 4
rather 1
reacting 1
real 1
relations 1
release 1
released 1
remotely 1
resentment 2
resident 1
residents 2
responds 1
restored 1
restoring 1
results 1
retaliates 1
revenues 1
rights 1
riot 1
risk 1
routinely 1
run 1
running 1
runs 1
sacrificing 1
salt 1
sanders 6
santos 14
search 1
security 3
see 1
sells 1
sheer 1
shooting 1
shopping 1
shortage 1
shows 1
size 1
sleep 1
slum 1
sneak 1
society 1
solving 1
some 1
soon 4
southern 1
spoofing 1
standard 1
status 1
still 1
stoppages 1
stopping 1
story 1
subway 2
such 2
supply 1
system 2
systems 2
tax 1
tech 1
telepresence 2
tent 1
terrorists 1
than 1
that 4
the 54
their 3
then 1
there 1
they 9
think 1
this 2
three 2
title 1
to 14
todos 14
tony 2
torch 1
tows 1
trouble 1
truce 1
tunnel 1
turn 3
turns 2
two 2
under 1
until 1
uses 1
using 1
via 1
visit 1
want 1
warrants 1
water 3
ways 2
weapons 1
well 1
were 1
when 3
which 5
while 2
who 2
will 2
with 6
without 1
woman 1
won 1
work 2
workers 1
young 1
youths 2
zealots 1
