11879921
/m/02rwkn3
/m/02rwkn3
Eyvind Johnson


16 2
31 1
73 1
776 1
783 2
a 9
after 1
again 2
against 2
age 1
agibert 1
all 2
allowing 1
also 1
an 3
and 14
angila 3
angilperta 6
angry 1
anselm 1
aquisgranum 2
arrives 1
as 4
at 2
autumn 2
avalanche 1
away 1
back 1
be 1
becomes 3
becoming 1
beginning 1
bertold 4
boys 1
brings 1
brother 2
brothers 2
burgundy 1
bush 1
but 3
by 4
cannot 1
carolus 3
caroluss 1
castle 2
cell 1
chapter 1
child 1
childhood 2
children 1
cividale 1
college 1
comes 3
contemporary 1
court 1
cousin 1
creates 1
darkess 1
daughter 1
decides 1
defends 1
devil 1
die 1
dies 1
dine 1
dines 1
disappears 2
does 2
down 1
duke 2
dungeon 2
during 2
east 1
engaged 1
eranbald 1
escape 1
eventually 1
executed 1
explains 1
family 1
father 1
flowering 1
for 4
forojuli 2
found 3
franks 2
freed 1
friend 1
from 5
frustrated 1
get 1
gets 1
gisertruda 1
giseverga 1
given 1
goes 2
great 1
guards 1
gudneric 1
gunderic 2
half 1
has 2
he 20
healthy 1
heir 1
her 5
him 2
his 7
home 2
huns 1
imprisonment 1
imprisons 1
in 13
indeed 1
is 17
italy 1
jail 1
johannes 1
kill 1
killed 1
king 4
kingdom 1
landoald 1
landoalda 1
late 1
leaves 1
let 1
likes 1
liuta 2
lord 1
loup 1
loved 1
lover 1
loves 1
lupigi 3
lupigis 1
manages 1
meets 1
monologue 1
more 1
name 3
named 1
not 2
novel 1
novels 1
of 15
old 1
oldest 1
on 1
order 2
over 1
papia 1
part 1
perto 5
postrebellion 3
prison 6
progresses 1
put 1
quickly 1
radaberta 1
radbert 1
reasons 1
rebellion 5
recognize 2
relations 1
released 1
remains 1
return 2
rodgaud 2
rodgaudcousin 1
royal 1
seem 1
seized 1
seven 1
she 3
sinauld 1
slave 1
sleeps 1
so 1
son 2
starts 1
summer 1
tempts 1
ten 1
that 2
the 24
then 1
there 1
they 1
third 1
though 2
three 4
to 13
together 1
total 1
totonisvilla 1
tower 1
trip 1
two 1
uncle 1
vision 1
visits 1
warnefrit 4
where 5
which 1
who 3
wife 1
with 5
wolf 1
women 1
years 4
young 1
youngest 1
