26039921
/m/0b6m66m
/m/0b6m66m
Danielle Steel
2010-02-23
a 19
about 2
adoration 1
again 1
age 1
agree 1
all 1
also 1
always 1
an 1
and 20
another 2
are 3
as 8
at 3
baby 3
barely 1
because 3
beginning 1
begins 1
being 1
beliefs 1
believed 1
big 2
blames 1
book 1
born 3
both 2
boy 2
boyfriend 1
bridge 1
bullied 1
but 6
by 1
calls 1
career 1
changes 1
child 1
chosen 1
christine 2
clever 1
constant 2
constantly 1
controlling 1
couple 1
criticize 1
dark 2
depicted 1
despite 2
disappointed 1
does 1
dogs 1
doing 1
dubious 1
each 1
early 1
eating 1
end 1
engaged 1
ever 1
everything 2
exist 1
explaining 1
eyed 1
eyes 1
fail 1
fair 1
fat 2
father 1
fathers 1
favouritism 1
few 2
fiance 1
figure 1
finds 1
fitness 1
food 1
for 5
friends 2
from 2
gains 1
genetic 1
get 2
gets 1
girl 6
girls 1
good 1
grace 1
gracie 2
grandmother 1
great 1
grow 1
grows 1
haired 1
has 1
have 1
having 1
her 24
house 1
husband 3
in 2
into 1
is 9
jealousy 1
jim 2
jims 1
job 1
known 1
lack 1
large 1
life 1
looks 2
love 1
make 1
married 2
matronly 1
moment 2
money 1
morals 1
mother 1
moves 1
name 2
namesake 1
narcisistic 1
new 1
no 1
nose 1
not 2
obsessed 3
obvious 1
of 7
old 3
older 2
on 1
one 1
only 1
or 1
other 1
out 2
overweight 1
parents 9
parrotting 1
picture 1
plays 1
posed 1
praise 1
prestigious 1
problems 1
psychiatrist 1
queen 2
really 1
receives 1
referred 1
relationships 1
relationsships 1
remarks 2
resembled 1
resembles 1
returns 1
rich 1
saw 1
school 1
seems 1
sees 1
seven 1
she 9
shows 1
sister 5
some 1
starts 1
still 1
stronger 1
teacher 1
tentivite 1
than 1
the 9
their 4
them 1
there 1
they 5
though 1
through 1
throwback 1
to 10
too 2
tries 1
try 1
turn 1
ugly 1
unloveable 1
up 2
upset 1
victoria 14
wants 2
was 1
weight 2
were 1
when 4
which 2
who 6
whom 1
wife 1
will 1
with 6
woman 1
works 1
worry 1
years 1
york 1
younger 3
