9728050
/m/02pqccx
/m/02pqccx
Madeleine L'Engle

{"/m/03mfnf": "Young adult literature"}
a 5
accepting 1
affair 1
an 1
and 7
are 2
as 1
asks 1
assists 1
at 1
attachment 1
away 1
be 2
befriends 1
begin 1
begins 1
begs 1
begun 1
best 1
between 1
boarding 1
both 1
break 1
brother 1
but 1
by 2
camilla 9
changes 1
cope 1
cut 1
deal 1
decide 1
define 2
encourages 1
european 1
facing 1
families 1
family 1
father 2
flaws 1
forced 1
form 1
frank 4
friend 1
gained 1
get 1
go 1
going 1
happiness 1
has 2
he 2
heartbroken 1
her 11
herself 2
him 1
his 1
home 1
honest 1
ideas 1
imperfect 1
in 3
inner 1
is 8
it 1
jacques 1
keep 1
life 2
loss 1
loyalty 1
man 1
marriage 1
mother 2
move 1
named 1
not 1
of 2
older 1
on 3
pair 1
parents 5
past 1
people 1
philosophy 1
problems 3
rafferty 1
realize 1
religion 1
romantic 1
rose 1
school 1
secret 1
sent 1
share 1
she 3
short 1
significant 1
strength 1
struggle 1
suddenly 1
swiss 1
tell 1
the 7
their 3
they 1
to 13
together 1
torn 1
traveling 1
truly 1
truth 1
understanding 1
unfortunately 1
up 1
uses 1
vacation 1
very 1
weeks 1
when 1
while 3
who 1
with 4
work 1
worse 1
