13357663
/m/03c2sfs
/m/03c2sfs
William Morris
1895
a 3
after 1
also 1
an 3
and 11
army 1
as 1
aspect 1
assassination 1
attempt 1
attraction 1
baron 1
be 1
believe 1
between 2
both 1
brimside 1
bringing 1
but 1
by 3
challenge 1
challenges 1
champion 1
child 1
christopher 6
claims 1
combat 1
commander 1
conflict 1
contrast 1
dane 1
defeating 1
disparity 1
displaced 1
earl 1
element 1
emotional 1
emphasizes 1
fair 1
fall 1
fantasies 1
for 1
forced 1
forces 1
forefront 1
forested 1
from 2
gandolf 1
gathers 1
gives 1
giving 1
goldborough 1
goldilind 2
havelock 2
heirs 1
help 1
her 1
heritage 1
hero 3
heroine 1
him 1
his 7
honor 1
hosts 1
identity 1
ignorant 1
in 6
informs 1
initially 1
is 4
jack 4
land 1
lay 1
leading 1
little 1
love 2
marriage 1
medieval 1
meet 1
misfortunes 1
morris 3
most 1
mutual 1
no 1
oakenrealm 1
of 13
opposing 1
or 1
original 1
other 1
place 1
portrayed 1
profound 1
prominent 1
protagonists 1
proves 1
recasting 1
reconcile 1
refuge 1
regains 1
reimagining 1
relegated 1
rescue 1
resolved 1
role 1
rolf 2
romantic 1
royal 1
secondary 1
servant 1
set 1
shame 1
single 1
situation 1
social 1
sons 1
source 2
standing 1
station 1
status 1
story 4
supernatural 1
the 26
their 3
there 1
they 1
this 2
to 10
tofts 1
together 1
true 2
two 1
unlike 1
usurper 2
version 1
warfare 1
was 1
what 1
when 2
which 1
who 1
with 3
worth 1
