4923088
/m/0cvcz2
/m/0cvcz2
Dean Koontz

{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/0c3351": "Suspense"}
24 1
a 20
advice 1
after 1
again 1
ago 1
ahead 1
alone 1
along 1
an 3
and 12
angela 3
animals 2
another 2
answering 1
are 3
around 1
as 5
assailants 1
at 2
attempts 1
barely 1
base 1
bed 1
been 1
beers 1
before 2
begins 1
best 1
bicycle 1
bobby 2
body 2
book 1
brings 1
busy 1
by 5
call 1
called 1
calls 1
cat 1
centered 1
chased 1
chris 2
christopher 14
christophers 1
communication 1
compelled 1
compound 1
condition 1
conspiracy 1
continue 1
cottage 1
creature 1
cryptically 1
deadend 1
death 1
deep 1
deserted 1
dies 1
digging 1
dimmed 1
discovers 2
dog 2
drifter 1
dying 1
edge 1
encountered 1
encounters 1
endless 1
enters 1
escapes 1
escaping 1
exfootball 1
extremely 1
family 2
father 4
fathers 1
fear 2
feels 1
ferryman 1
few 2
figure 1
finds 1
fire 1
first 1
focuses 1
followed 1
following 2
follows 1
food 1
fort 1
found 2
friend 3
friends 1
from 2
frost 2
funeral 1
garden 1
girlfriend 1
going 1
group 1
gun 1
halfbeast 1
halfman 1
halloway 1
has 1
he 5
hearing 1
her 1
him 4
hints 1
his 12
holes 1
hollow 1
home 3
hospital 2
hours 1
house 2
in 7
including 3
intelligent 2
interrupted 1
into 1
investigation 1
is 10
keeps 1
killed 1
knowledge 1
landscape 1
later 1
leave 1
leaving 1
led 1
legacy 1
life 2
lifelong 1
lights 1
lives 1
machine 1
manages 1
manhunt 1
meal 1
meets 1
mentions 1
message 3
military 3
mist 1
monkey 1
monkeys 1
more 1
mother 1
mungojerrie 1
mutated 1
mysterious 2
mystery 2
near 2
nearly 1
night 3
normal 1
nothing 2
now 1
nurse 1
of 15
off 3
on 7
only 1
opens 1
orson 4
out 1
outskirts 1
people 1
person 1
personnel 1
pet 1
player 1
precocious 1
protect 1
protected 1
pursuers 1
race 1
reaches 1
recovered 1
returning 1
revealed 1
reveals 1
rhesus 2
room 1
roosevelt 1
sasha 1
say 1
sea 1
secrets 1
see 1
seemingly 1
sends 1
set 1
sets 1
several 1
shadowy 1
share 1
she 1
shortly 1
snow 4
some 2
stops 1
story 1
strange 1
surfer 1
switched 1
taking 1
talent 1
terrifying 1
that 2
the 27
their 1
they 1
this 1
thoughtfully 1
through 1
title 1
to 13
told 1
town 2
towns 1
uncharacteristically 1
uncommonly 1
unknown 1
unravel 2
unusual 1
upon 2
urgent 1
urges 1
very 1
visit 1
warned 1
when 3
where 1
which 2
while 1
who 4
wild 1
with 7
words 1
wyvern 1
years 1
yet 1
