461501
/m/02cbyy
/m/02cbyy
Brian Jacques
1999
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 13
abandoned 1
abbey 2
able 1
aboard 1
about 2
accompany 1
account 2
after 1
against 1
aground 1
allegedly 1
also 1
an 5
ancestor 1
and 24
are 1
area 1
around 1
as 7
asks 1
at 2
attacked 1
back 1
badrang 1
be 2
beam 1
beau 4
beauclair 1
becomes 1
becoming 1
befriend 1
befriended 1
beginning 1
begins 1
believed 1
between 1
bird 1
birth 1
bit 1
black 1
book 3
bow 1
breaking 1
broken 1
brother 2
but 2
by 3
captain 1
captured 3
chance 1
childhood 1
choke 1
chopsnout 2
chose 1
chugger 1
close 1
construction 1
contains 1
convince 1
cosfortingham 1
could 2
creature 1
crew 2
daskar 6
dead 1
decides 1
declined 1
destroyed 1
dinny 1
down 1
drowned 1
dubbed 1
during 1
eating 1
end 1
even 1
events 1
eventually 1
expanded 1
exuberant 1
father 4
feral 1
fethringsol 1
fight 1
filed 1
fix 1
flashback 1
flashes 1
foebeasts 1
foeseeker 1
folgrim 1
for 3
forced 1
free 1
friends 1
gives 1
giving 1
go 1
gonff 1
goreleech 1
greenhawk 1
had 2
hare 1
having 1
he 6
hedgehog 1
help 1
her 1
hidden 1
him 2
himself 1
his 19
hoping 1
hordebeast 1
however 1
idyllic 1
in 5
initially 1
instance 1
instantly 1
into 2
is 2
it 3
join 1
killed 2
kills 1
krar 1
leader 1
learn 1
liberated 1
life 4
lifting 1
like 1
live 1
lived 1
luke 14
lukes 1
lyrics 1
many 2
marshank 1
martin 12
massacred 1
master 1
meets 1
mentioned 1
mice 1
more 2
mouse 3
mousethief 1
much 1
murderous 1
name 1
named 2
northlands 1
now 1
occurred 1
occurs 1
of 16
off 1
old 2
older 2
on 1
one 3
only 1
opportunity 1
ordered 1
orphaned 1
others 2
otters 1
out 1
own 1
peace 1
pirate 1
planning 1
plot 1
point 1
points 1
presented 1
put 2
quest 1
quite 1
ranguvar 3
reach 1
realising 1
receives 1
recognizes 1
red 1
redwall 2
returned 1
revenge 2
reynard 1
rocks 2
rogues 1
roving 1
run 1
sailed 2
same 2
sayna 4
scene 2
sea 1
seagulls 1
seasons 1
second 1
settlement 1
ship 8
shiptrapped 1
show 1
sings 1
sinks 1
slavedriver 1
slavery 1
slaves 3
slew 1
smashed 1
sneaked 1
son 2
song 1
soon 1
squirrel 2
steer 1
stern 1
strangle 1
stuck 1
survived 1
surviving 1
sword 3
take 2
tapestry 1
teeth 1
that 1
the 52
them 1
then 2
therefore 1
they 3
threatened 1
time 1
titled 1
to 22
together 1
treasure 1
tribe 4
tried 1
trimp 3
tungro 1
two 3
tyrant 1
until 1
upon 3
vermin 3
very 1
vessel 1
vilu 1
visits 1
vowed 1
vurg 4
wake 1
wanted 1
warrior 4
was 6
well 2
were 1
when 5
where 2
whereas 1
which 2
whip 1
who 4
wished 1
with 4
woodlander 1
woodwatcher 1
workers 1
would 1
