11391083
/m/02r9x2y
/m/02r9x2y
David McRobbie

100 1
1886 1
85 1
a 5
about 1
according 1
adam 8
after 1
agley 1
all 2
along 1
also 2
and 13
ant 1
around 1
as 2
australia 1
because 1
been 1
bids 1
bleeze 1
bond 1
bullies 1
bus 1
but 2
by 3
called 1
care 1
carrying 1
carter 3
catherine 1
catriona 3
cave 1
chisholm 1
cliff 1
colquhoun 3
completely 1
crashing 1
cursed 2
de 1
destroying 1
destroys 1
destruction 1
did 1
discovered 1
do 1
doll 1
dolls 11
doon 1
down 1
dubh 1
dunarling 3
each 2
events 1
fa 1
failed 1
fiance 1
fifth 1
final 1
finding 1
fire 2
form 1
former 1
foulness 1
four 1
from 2
get 1
going 1
had 1
happen 1
hardware 1
hardy 1
have 1
having 1
he 1
held 1
hidden 1
in 1
insane 1
into 2
is 2
jamie 1
jealous 1
just 1
killer 1
lairgo 1
last 1
like 1
looks 1
made 1
manages 1
mandrake 3
margaret 1
marie 1
masters 1
meddum 1
migrate 1
mike 5
mischance 1
much 1
named 1
nell 1
not 1
novel 1
ocean 1
of 9
one 1
other 1
otherwise 1
over 1
passengers 2
past 1
poisoning 1
possess 1
ramsay 1
realised 1
referred 1
revenge 1
richard 5
saying 1
school 1
scotland 1
secretly 1
seem 1
set 1
setting 1
she 3
ship 1
shipwreck 1
since 1
so 1
south 1
starts 1
stop 1
store 1
system 1
tam 1
that 3
the 23
their 1
them 2
then 2
these 4
they 2
throwing 1
time 1
to 10
took 1
town 1
tracks 1
two 4
unfolding 1
unfolds 1
upon 1
vernon 3
visions 1
wanting 1
wants 1
warns 1
was 3
water 1
were 4
what 1
where 1
which 1
white 1
wife 1
with 8
years 1
youngsters 1
