7426266
/m/02617zj
/m/02617zj
Joey Goebel
2003
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 8
african 1
alone 1
american 2
an 2
and 3
anomalies 1
are 1
around 1
articulate 1
as 2
at 1
band 1
be 3
beautiful 1
better 1
bomb 2
boots 1
but 2
come 1
completely 1
conquer 1
constantly 1
cowboy 1
does 1
dream 1
drop 2
drugs 1
eightyyearold 1
extremely 1
first 1
five 2
for 2
form 1
freaks 1
girl 1
god 2
group 1
gulf 1
have 1
he 1
heavymetal 1
his 1
in 7
iraqi 1
is 2
just 1
kentucky 1
known 1
laugh 1
lead 1
life 1
make 1
makes 1
might 1
music 2
newwave 1
not 1
of 1
on 1
only 2
outsiders 2
passion 1
people 1
pistols 1
place 1
powerpop 1
precocious 1
punkrock 1
reality 1
searching 1
seems 1
sex 1
shared 1
show 1
singer 1
small 1
sober 1
soldier 1
that 2
the 11
their 3
them 2
they 3
this 1
through 1
to 5
together 2
town 1
tshirt 1
unites 1
up 1
walks 1
want 1
war 1
way 2
wheelchair 1
wherever 1
who 2
with 1
woman 2
words 1
world 1
would 1
wounded 1
young 2
