8117789
/m/026s6j9
/m/026s6j9
Steve Perry
1985-08
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
10000 1
20 1
2006 1
2388 1
2400 1
34implosion34 1
34shamba 2
7 1
a 29
ability 1
about 2
actually 1
addition 1
after 1
afterwards 1
against 4
aims 1
albinoexotic 1
alcoholic 1
almost 1
also 1
although 1
an 7
and 32
any 3
apparently 1
apprehension 1
are 5
army 1
around 1
array 1
art 2
arts 1
as 9
at 5
attractive 1
back 1
band 1
bar 4
barowner 1
bartender 1
bartending 2
based 1
battle 1
be 6
because 1
becomes 1
before 1
begins 1
being 2
beings 1
belief 1
believed 1
best 1
black 1
body 1
bomb 1
bringing 1
broke 1
brutally 1
but 4
buying 1
by 4
calls 2
campaign 1
can 2
cannot 1
career 2
careful 1
carefully 2
catches 1
challenging 1
cheats 1
chosen 2
city 2
civilian 1
cocktail 2
college 1
colonialize 1
combat 2
comes 1
commander 2
commander3s 1
compatriots 1
complex 1
compressed 1
compromise 1
conceals 1
concerns 1
conclude 1
conclusion 2
confed 9
confederacy 1
confederation 2
connected 1
conscious 1
considered 1
contestant 1
convinced 1
could 3
craft 1
crimes 1
criminal 1
cure 1
current 1
dart 1
day 1
dead 2
death 1
decides 1
descendants 1
described 1
deserts 1
detonates 1
devotes 1
does 4
down 1
downed 1
drinks 1
drugs 2
during 1
each 1
economics 1
embarks 1
emile 1
empire 2
encompassing 1
engineered 1
enormous 1
enshrouded 1
enters 1
epiphany 1
escapes 2
estimate 1
ethics 1
eventually 3
exotic 1
experience 2
experiencing 1
exsoldier 1
extent 1
extremely 3
exude 1
face 1
fading 1
falls 1
fast 1
fear 1
find 1
finger 2
fired 2
first 1
flashback 1
flesh 1
flex 2
for 4
forces 3
forces34 1
forensics 1
formerly 2
fortifying 1
fortunes 1
freedom 2
friendly 1
from 1
further 2
game 1
garner 1
generic 1
generous 1
genetically 1
genial 1
get 1
goes 2
greaves 1
grip 1
grown 1
grows 1
guerilla 1
handful 1
handling 1
hands 1
has 2
have 2
he 22
head 1
healthcompromising 1
heavy 1
hence 1
herself 1
high 1
him 3
himself 1
his 24
history 1
hole 1
hour 1
how 1
human 1
humans 1
hundreds 1
hunts 1
hyperextended 1
identity 1
if 1
implosion 1
in 15
index 2
induces 1
injury 1
inside 2
inspired 1
instills 1
insurgents 1
interfering 1
into 5
is 14
it 6
its 4
khadaji 23
khadaji3s 1
kill 1
knocked 1
known 1
lapse 1
large 4
largescale 1
last 2
later 1
launch 1
leaders 1
learned 1
learning 1
learns 1
least 1
legend 1
length 1
libido 1
life 1
lifeordeath 1
likely 1
lives 1
living 1
loaded 1
locks 1
logical 1
long 1
looselyorganized 1
love 1
lump 1
luring 1
lustful 1
maintain 1
males 1
man 1
many 3
martial 3
massive 1
masters 1
maybe 1
maze 3
medias 1
medical 1
meditating 1
members 1
mentioned 1
meters 1
might 1
military 5
million 1
miniature 1
missed 1
missing 2
modern 1
monetary 1
money 2
months 4
most 1
mounted 1
multipleday 1
musashi 2
must 1
mysterious 1
mysteriously 1
name 3
narcotics 1
nearby 1
necessarily 1
needs 2
never 1
night 1
no 1
nonlethal 1
not 7
novel 2
observed 1
occupied 1
of 33
offered 1
office 1
officer 1
old 1
on 10
one 5
only 2
opponents 1
or 2
order 1
orders 1
other 2
out 1
over 1
overthrown 1
package 1
paralysis 1
paralyzed 1
paralyzes 3
part 1
past 1
pen 8
people 1
perry 3
perry3s 1
person 1
pheromones 1
pitched 1
planet 3
point 1
politics 1
pondering 1
possibility 1
possibly 1
potent 1
power 1
powerful 1
precise 1
presumably 1
presumed 1
priest 1
prize 1
proof 1
propelling 1
protect 1
quickly 2
ranks 1
rather 1
readerthe 1
ready 1
real 3
realize 1
realizes 1
reasons 1
receipts 1
recently 1
record 1
recover 1
recovering 1
relationship 1
religious 1
remains 2
requires 1
res 1
rescuing 1
resistance 1
results 1
reveal 1
revealed 1
reveals 1
rim 2
risky 1
robots 1
ronins 1
round 1
ruined 1
rules 1
runs 1
safe 1
same 1
sapient 1
saw 1
science 1
scum34 1
secured 1
seen 1
service 1
set 1
sex 1
sexually 1
shamba 1
she 2
shooter 1
shortly 1
shots 1
shroud 1
siblings 1
silat 1
single 2
situations 1
six 3
skills 2
slaughter 1
small 1
smugglinga 1
snaps 1
so 2
solar 1
sold 1
soldiers 4
spends 1
spetsdd 4
starspanning 1
started 1
steps 1
store 1
stored 1
striking 1
student 1
subject 1
successful 1
successfully 1
such 4
sumito 1
sums 2
superiors 1
suppress 1
surprisingly 1
survive 1
systems 1
tactics 1
taken 1
takes 1
taking 1
target 1
tasked 1
teaches 1
term 1
test 2
than 1
that 15
the 83
their 2
them 2
there 5
thing 1
this 3
threequarters 1
time 3
tiny 1
title 1
to 26
total 1
tournament 2
training 2
transport 1
travelled 1
travelling 1
troops 1
try 1
unarmed 1
unobtrusively 1
up 1
used 1
useful 1
uses 2
usual 1
vault 3
victimless 1
views 1
wandering 1
war 2
was 6
wasting 1
way 1
ways 1
weapon 3
weaponpointshooting 1
weapons 2
were 1
whatever 1
when 2
where 1
which 9
while 5
who 3
will 1
wins 2
with 8
within 1
without 1
working 1
world 1
worlds 2
would 2
writes 1
wrong 1
years 1
young 1
