7917328
/m/026j_fp
/m/026j_fp
Edwidge Danticat
1998-09
{"/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
130s 1
8 1
a 5
about 1
accidental 1
accompanied 1
after 4
age 1
alegria 1
along 1
although 2
amabelle 19
amabelles 2
and 14
another 1
are 3
around 1
arrival 1
at 1
attempt 2
back 1
beat 1
become 1
becomes 1
beginning 1
bones 1
bring 1
but 1
by 4
call 1
cane 1
city 1
cleanse 1
comfort 1
complications 1
connection 1
continues 1
correctly 1
country 2
cross 1
crossing 1
dajabon 2
dangerous 1
daughter 2
death 2
decides 1
desir 1
desperate 1
despite 1
determine 1
disappointed 1
dissatisfied 1
distrust 2
divide 1
dominican 2
dominicans 2
don 2
during 2
each 1
encounters 1
escape 1
escaping 1
evident 1
farming 1
fate 1
fathers 1
fellow 3
fields 1
figures 1
find 4
finding 1
finds 1
flee 1
for 5
friend 1
from 1
fulfill 1
further 1
generalissimos 1
girl 1
government 1
group 2
grows 1
haitian 3
haitians 3
has 1
have 1
healed 1
health 1
help 1
her 6
his 5
home 3
ignacio 2
important 1
in 9
inability 1
intentions 1
is 6
it 1
journey 1
kout 1
kouto 1
landowner 1
learning 1
learns 1
life 3
live 1
lives 1
looking 1
lover 1
makes 1
massacre 2
members 1
memories 1
met 1
most 1
mother 1
must 2
named 1
needs 1
new 1
news 1
not 1
nuns 1
nurse 1
of 20
offers 1
old 1
on 1
once 1
one 3
onius 1
only 1
orphaned 1
other 2
others 1
own 1
past 1
perejil 1
places 1
prevalent 1
process 1
pronounce 1
reaching 1
reason 1
rebuild 1
recognizing 1
recovery 1
reliving 1
remaining 1
republic 1
rescue 1
results 1
return 1
returns 1
reuniting 1
revolves 1
river 2
safety 1
search 3
sebastien 6
sebastiens 4
segregation 1
senora 1
separate 1
set 1
settle 1
she 1
side 1
solace 1
story 2
successful 1
succumbs 1
survive 1
survivors 2
take 1
tells 1
that 4
the 30
their 6
them 2
there 1
they 3
this 1
tibon 1
to 20
torture 1
town 1
truth 1
try 2
twenty 1
two 1
unable 2
unfortunately 1
upon 2
valencia 1
verge 1
warranted 1
way 1
ways 1
what 2
when 1
where 1
while 3
who 1
with 5
workers 2
working 1
works 1
years 1
young 1
yves 10
