17455370
/m/047pp02
/m/047pp02
Helen Fielding

a 7
about 2
after 2
airs 1
and 13
at 2
attracted 1
back 3
be 1
behaviour 1
breaks 1
business 1
by 2
called 1
calling 1
camp 2
catastrophes 1
circle 1
convincing 1
cultural 1
dating 1
day 1
days 1
decides 1
delivered 1
doctor 1
doing 1
england 1
environment 1
erratic 1
falls 1
famous 1
feels 1
flies 1
fly 2
food 2
for 2
formed 1
four 1
friends 1
full 1
fundraising 1
funds 1
general 1
get 1
gets 2
go 2
handle 1
hands 1
has 2
he 1
her 5
him 2
his 2
host 1
hour 1
in 4
into 2
invasion 1
is 4
late 1
later 1
leaves 1
life 1
like 1
locust 1
love 1
loves 1
marketing 1
matters 1
meaningful 1
meantime 1
merchant 1
mostly 1
nambula 3
new 1
not 1
of 3
oliver 5
on 1
one 2
organised 1
orourke 2
own 1
political 1
poverty 1
publisher 1
raise 1
realisation 1
refugee 1
refuses 1
relationship 1
richardson 1
robert 1
rosie 6
rumours 1
running 1
she 6
shipping 1
shock 1
show 3
so 2
softfocus 1
some 2
something 1
spend 1
spread 1
stars 2
starts 1
success 1
sustain 1
tackle 1
take 1
telling 1
that 3
the 10
their 1
then 1
they 2
to 11
together 2
topics 1
touch 1
tries 1
trip 1
tv 1
unfortunately 1
up 1
wants 1
when 2
where 1
who 1
will 1
with 5
work 1
works 1
years 1
