27089331
/m/0bs0wyk
/m/0bs0wyk
Juliet Marillier
2007-10
{"/m/01hmnh": "Fantasy", "/m/03mfnf": "Young adult literature"}
a 21
able 1
about 3
accepts 1
accompanies 1
achieve 1
across 1
admits 2
adventurers 1
after 2
again 1
ago 1
all 1
alone 1
along 1
already 1
also 2
amazing 1
an 3
and 22
another 3
anyway 1
appear 1
appropriate 1
are 2
arms 1
around 1
as 6
at 2
back 3
be 3
because 1
been 1
begins 3
being 1
belong 1
bodyguard 1
books 1
boss 2
business 1
but 2
by 1
can 1
care 1
cave 3
certain 1
choice 1
choose 1
chooses 3
city 1
clue 1
collapse 1
colleagues 1
collect 1
come 2
control 1
creatures 1
cult 3
cybele 5
dancing 2
dangerous 2
daring 1
day 2
decide 1
decision 1
delicate 1
did 2
die 1
dinner 1
does 2
dogs 1
dragutsa 1
drawn 1
dropping 1
duarte 3
dying 1
each 1
edge 1
end 1
event 1
eventually 1
everyone 1
excited 1
exclaims 1
exposed 1
faced 1
faerie 3
fatal 1
father 4
few 1
find 5
finds 2
five 2
folk 1
followers 2
for 5
foreign 1
found 1
fourth 1
friend 2
friends 1
from 1
get 3
gift 1
girls 1
give 1
given 1
gladly 1
go 3
goddess 1
goes 1
good 1
guard 2
had 1
has 2
have 4
having 2
he 2
head 1
help 1
helping 2
her 13
herself 3
him 3
hire 2
hires 1
his 1
home 1
how 1
if 1
ildephonsus 1
in 4
including 2
influential 3
inside 1
into 2
invites 1
is 13
island 5
istanbul 3
it 8
iulia 1
jena 2
join 2
journey 1
kebehlehis 1
kept 1
kill 1
know 2
knows 1
lady 3
leader 2
left 1
library 2
like 1
little 1
live 2
look 1
love 1
make 1
man 1
many 3
married 2
maybe 1
meets 1
mine 1
murdered 1
must 4
named 2
narrated 1
not 3
of 16
off 1
old 2
older 1
on 8
one 3
only 3
opponents 1
option 1
or 2
other 1
out 5
owns 1
pass 1
path 1
paula 21
perilous 1
perils 1
pictures 1
pirate 2
place 2
placed 1
previous 1
promised 1
pronounced 1
prospects 1
proved 1
quest 1
read 1
realise 1
realises 2
realm 2
records 1
religious 2
research 1
return 2
room 1
ropes 1
rumours 1
running 1
runs 1
saving 1
scholar 1
secret 1
see 3
sequel 1
set 1
several 1
sewn 1
shaking 1
she 11
ship 1
should 1
shows 1
since 1
sister 3
sisters 1
sit 1
so 1
some 1
somewhere 1
soon 1
sorrow 2
speaking 1
statue 9
steam 1
stela 1
still 1
stones 1
stoyan 7
strange 1
streets 1
such 2
tapestry 1
task 2
tasks 2
tati 2
teach 1
test 1
that 9
the 43
their 2
them 1
then 1
there 1
they 9
thinks 1
this 2
three 1
through 2
time 2
tiny 1
to 37
took 1
touching 1
trip 1
true 1
try 1
turn 1
turns 1
up 1
upon 1
using 1
villagers 1
wanting 1
was 1
wasshe 1
welcome 1
what 1
where 4
which 8
while 1
who 8
whole 1
wildwood 2
will 3
willing 1
witch 1
with 11
without 1
woman 1
women 1
words 2
worshippers 1
would 2
write 1
years 1
yes 1
you 1
young 1
