11590225
/m/02rklv6
/m/02rklv6
Peter Robinson
2002-01-11
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery"}
35 1
a 6
and 3
answering 1
apparent 1
are 4
as 2
banks 4
be 3
been 1
beginning 1
behind 1
blame 1
bodies 1
buried 1
but 2
by 1
call 1
called 1
case 2
cellar 1
crimesome 1
dead 2
domestic 1
door 1
dying 1
early 1
end 1
entangled 1
finds 1
for 1
grisly 1
has 1
have 1
hill 1
horror 1
in 6
ironically 1
is 5
it 4
lay 1
learns 1
leeds 1
lives 1
many 1
may 2
more 1
morning 1
murderer 2
not 2
nothing 1
of 3
officers 1
on 2
one 1
only 3
out 2
overgrown 1
pasts 1
people 2
person 1
police 1
quickly 1
quite 1
scene 1
secrets 1
seems 2
shattered 1
some 2
steep 1
straightforward 1
street 1
stumbled 1
that 1
the 9
their 1
third 1
this 3
time 1
to 4
turns 1
two 2
unbelievable 1
unspeakable 1
victims 1
where 1
who 1
whose 1
with 1
working 1
