1282407
/m/04pwy3
/m/04pwy3
Charles Dickens
1844
{"/m/0l67h": "Novella"}
a 15
able 2
accused 1
alcoholism 1
alderman 1
all 1
alone 1
an 3
and 32
announce 1
are 2
arrested 1
arrive 1
as 2
at 3
attendants 1
awakening 1
baby 1
be 1
bearing 1
because 1
been 2
begs 1
being 1
bellchamber 1
bells 3
berates 1
beyond 1
book 1
bowley 3
breaks 1
but 4
by 4
call 1
cannot 1
carries 1
casual 1
celebrations 1
charity 1
child 1
chimes 2
church 1
classes 1
clean 1
climb 1
climbs 1
committing 1
contemplate 1
conversation 1
convinced 1
countryman 1
cries 1
crime 1
crushed 1
cute 5
d 1
daughter 1
day 2
dead 1
debts 1
decision 1
descends 1
destiny 1
destitute 1
dictator 1
dies 1
discovers 1
dispelled 1
dispenses 1
dissuaded 1
distress 1
door 1
down 1
dream 1
driven 2
drowning 1
during 1
economist 1
effort 1
encounter 2
encounters 1
end 1
ends 2
ensure 1
eve 1
eventually 1
exist 1
faith 1
fall 1
far 1
feel 1
fell 1
fellow 1
fern 2
few 1
fianc 1
filled 1
finds 3
follows 1
food 1
for 5
forced 1
formed 1
from 6
gentleman 1
gloom 1
goblin 1
going 1
happiness 1
hardly 1
has 3
have 3
he 14
helpless 1
her 8
herself 1
hide 1
hides 1
him 7
himself 2
his 8
home 3
house 1
if 1
immorality 1
imprisoned 1
improve 1
in 9
intention 1
interfere 1
into 2
is 11
it 1
joseph 1
jump 1
jumping 1
laws 1
learned 1
leaving 1
lesson 2
let 1
life 1
lilian 3
lives 1
local 1
lodging 1
longtime 1
losing 1
make 1
man 1
mankind 1
manner 1
marries 1
marry 2
marrying 1
matters 1
meagre 1
meg 10
messenger 1
misgivings 1
mortal 1
mp 1
murder 1
must 1
naturally 2
nature 1
new 3
newspapers 1
next 1
niece 1
night 1
no 1
nobler 1
nostalgia 1
note 1
now 2
object 1
of 9
off 1
one 1
only 1
or 1
orphaned 1
ostentatiously 1
others 1
out 1
over 1
overheard 1
owes 1
pair 1
paternal 1
pay 1
petty 1
place 1
plans 1
plus 1
poised 1
political 1
pompous 1
poor 4
prevent 1
prison 1
prostitution 1
reports 1
repressed 1
reprimand 1
restrictions 1
returning 1
richard 5
right 1
ring 1
river 1
ruined 1
save 2
seem 1
seems 1
sees 1
series 1
set 1
settling 1
share 1
she 1
shillings 1
shop 1
simply 1
sins 1
sir 1
society 1
spirits 1
start 1
straight 1
strive 1
subsequent 2
suicide 1
takes 1
teach 1
that 5
the 28
their 4
there 1
they 1
things 1
this 1
thus 1
ticketporter 1
to 26
told 1
touch 1
tower 2
tries 1
trotty 11
troubled 1
turns 1
unfairly 1
ungrateful 1
unlocked 1
vagrancy 1
vision 1
visions 1
visit 1
visitors 1
wants 1
warn 1
watch 1
wedding 1
when 2
where 1
whereupon 1
whether 1
which 2
who 2
whom 1
wicked 2
will 4
with 10
wonders 1
working 1
year 3
years 1
young 1
