5249849
/m/0d9xz3
/m/0d9xz3
Ruth Rendell
1988
a 7
actress 1
ahead 1
alone 1
and 2
any 1
before 1
begins 1
being 1
body 1
book 1
boss 1
burden 2
can 1
carbomb 1
carpark 1
caused 1
commission 1
controversy 1
danger 1
daughter 1
defence 1
deserted 1
detective 1
for 1
forge 1
found 1
further 1
garotted 1
gwen 1
has 1
he 2
help 1
highprofile 1
his 2
home 1
hospital 1
however 2
in 6
inspector 1
intended 1
investigate 1
investigation 1
is 4
kingsmarkham 1
middleaged 1
mike 1
ministry 1
motivated 1
must 1
narrows 1
of 5
on 2
out 1
politically 1
property 1
protest 1
quickly 1
recently 1
rein 1
resident 1
robson 1
sheila 1
shortsighted 1
subterranean 1
suspect 1
that 1
the 5
to 1
too 1
town 1
victim 2
was 1
wellknown 1
wexford 2
when 1
who 1
with 2
without 1
