8611552
/m/0279yfj
/m/0279yfj
Joanne Horniman
1992
{"/m/03mfnf": "Young adult literature"}
a 10
about 1
again 1
age 1
ages 1
all 2
also 1
among 1
an 2
and 14
another 1
appear 1
are 1
arrived 1
arrives 1
arriving 1
as 1
asks 2
at 2
be 1
been 3
begin 1
begins 1
belonging 1
between 2
boy 1
brings 1
brisbane 1
building 1
by 1
child 3
children 2
city 2
classmate 1
comment 1
connection 1
constantly 1
couldnt 1
develops 2
distant 1
does 1
each 2
earlier 1
emma 16
eventually 1
explains 1
fact 1
families 1
family 1
father 1
feeling 1
feels 1
fifteen 1
find 2
finds 1
for 5
found 1
four 1
friend 1
friendship 2
friendships 1
from 3
gardens 1
girl 1
grow 2
grown 1
had 5
has 3
have 2
he 4
her 4
him 2
his 1
household 5
houses 1
identical 1
in 12
individuals 1
inhabited 1
is 3
it 3
ive 1
known 1
leave 1
leaves 1
life 2
like 2
lived 1
local 1
located 1
long 1
looks 2
making 1
mango 2
max 15
meanwhile 1
meet 1
met 2
months 1
mother 2
move 1
moves 1
moving 1
my 1
named 1
never 1
new 1
not 1
of 8
offer 1
offering 1
old 5
olivia 3
one 1
only 1
other 5
over 1
parents 1
parks 1
photo 3
photograph 1
photos 1
place 1
plant 1
planting 1
playing 1
previously 1
public 1
railway 1
real 1
realises 1
recently 1
remaining 1
remains 1
remarks 1
replies 1
residents 1
roofs 1
room 1
sand 1
sandcastle 1
say 2
secretly 1
see 1
seedlings 2
seeds 1
sense 2
several 1
she 5
shows 1
since 1
six 1
sixteen 1
some 2
something 1
spiritual 1
starts 1
stations 1
strange 1
struggling 1
sure 1
sydney 1
ted 4
that 5
the 17
their 2
them 3
themselves 1
there 1
they 1
theyll 1
this 3
through 2
time 2
to 12
tree 2
trees 3
two 1
up 2
waiting 1
was 1
what 1
when 3
where 1
which 1
whilst 1
whom 2
will 1
with 4
year 3
you 2
young 1
