664291
/m/030ys5
/m/030ys5
Daniel Handler
1999-09-30
{"/m/039vk": "Gothic fiction", "/m/02n4kr": "Mystery", "/m/06www": "Steampunk", "/m/05hgj": "Novel", "/m/0pym5": "Absurdist fiction"}
a 12
about 1
according 1
advise 1
after 1
all 1
allow 1
also 1
among 1
an 3
and 11
ankle 2
another 1
are 5
arrested 1
arrives 2
as 5
asks 1
assigned 1
assistant 3
astonished 1
at 1
attack 1
attempts 1
away 3
baudelaire 2
baudelaires 3
be 7
becomes 1
been 1
before 1
befriends 1
being 1
believes 1
bite 1
bitten 1
blows 1
body 1
books 1
brother 1
bruce 1
but 2
by 4
cake 1
called 1
can 1
car 2
children 12
chubby 1
claimed 1
claims 1
coconut 1
collection 2
containing 1
could 1
count 3
cousin 1
cover 1
covered 1
crashes 1
cream 1
danger 1
day 1
dead 1
deadly 5
discover 1
discovered 1
discuss 1
disguise 1
display 1
diversion 1
do 1
does 1
dr 3
drives 1
each 2
easily 1
estate 1
eventually 1
evidence 2
evil 1
expedition 1
explains 1
expose 1
eye 4
face 1
fascinated 1
father 1
find 2
foils 1
for 5
fortune 2
found 1
free 1
friendlier 1
from 1
furious 1
get 1
gets 1
giant 1
given 2
gives 1
go 1
going 2
good 1
guardian 4
gustav 3
had 2
hall 1
handkerchief 1
hands 1
harmless 2
has 5
have 2
he 14
help 1
herpetologist 1
him 2
hinting 1
his 7
holes 1
hope 1
horrible 1
horseradish 1
house 2
however 3
impostor 1
in 11
incredibly 5
informs 1
inject 1
insist 1
intends 2
into 4
inventing 1
invites 1
is 16
it 4
job 2
jobs 1
joke 1
killed 1
klaus 2
knew 1
lane 1
late 1
later 1
leave 1
leaving 1
left 1
let 1
like 1
lives 1
lousy 1
makeup 1
man 1
many 1
meanwhile 1
meet 1
misnomer 1
montgomery 6
monty 14
more 1
mr 7
much 1
name 2
need 1
new 4
night 1
not 3
nothing 1
of 4
off 1
olaf 4
old 1
on 7
once 1
only 1
open 1
or 1
orphans 1
other 1
own 1
peru 6
pieces 1
play 1
plot 1
poe 8
possibly 1
powder 1
practical 1
prefers 1
presents 1
pretends 1
previously 1
privately 1
prove 1
puff 1
puncture 1
quite 1
reach 1
read 1
realize 3
recently 1
red 1
rein 1
reptile 5
resigned 1
return 1
revealing 1
revenge 1
ridiculing 1
room 4
ropes 1
round 1
saying 1
says 1
scheme 1
sebald 1
sent 1
she 1
short 1
should 1
shows 1
since 1
smells 1
snake 3
snakes 4
society 1
soon 2
stage 1
steal 2
stephano 18
still 1
stored 1
suddenly 1
suitcase 1
sunny 4
syringe 1
take 1
taken 3
tattoo 1
tears 1
tell 1
tells 1
than 1
that 11
the 44
their 6
them 3
there 1
these 1
they 12
theyll 1
things 1
this 1
threatens 1
three 2
ticket 1
time 1
tiny 1
to 30
told 1
traps 1
tried 1
trip 1
try 2
two 1
uncle 2
under 1
up 2
usable 1
use 1
used 1
venom 1
violet 3
viper 6
warn 1
was 1
watch 2
way 1
what 1
when 3
where 3
which 4
who 3
wife 1
will 4
wipes 1
with 7
wont 1
yet 1
