34584043
/m/0j252r9
/m/0j252r9
Armijn Pane


a 25
about 1
accepts 1
action 1
active 1
activist 1
actually 1
advances 1
afar 1
affair 1
after 5
alone 1
also 2
an 3
and 13
are 1
arrives 1
as 9
asked 1
asks 2
at 8
attempt 1
attend 1
attended 1
back 2
bandung 1
batavia 3
be 3
beauty 1
became 1
because 1
become 1
been 1
before 1
begin 1
begins 2
behave 1
better 1
breakdown 1
breaking 1
busy 1
by 1
caledonia 2
call 1
calling 1
childhood 2
competition 1
congress 1
consider 1
culture 1
date 1
day 2
deal 1
decides 3
deciding 1
dedicates 1
dinner 1
discovers 3
discuss 1
disgusted 1
distances 1
doctor 2
does 1
dutchman 1
dutchtrained 1
elementary 1
eni 2
enquires 1
especially 1
expects 1
falls 1
fan 1
favourite 1
feelings 1
feels 2
fill 1
for 13
forced 1
former 1
friend 2
from 5
furious 1
further 2
furtively 1
gambir 2
giving 1
goes 2
goodbye 1
graduated 1
groups 1
had 2
hartono 5
has 3
having 1
hayati 1
he 10
hears 1
heart 1
her 11
herself 2
him 9
himself 1
his 8
history 1
home 2
hotel 2
house 1
household 1
however 3
in 10
involved 1
is 9
it 1
jakarta 1
judge 1
kroncong 1
later 1
leaving 4
left 1
letter 1
life 1
like 1
likely 1
little 1
long 2
love 2
made 2
man 1
marital 1
market 1
marriage 1
married 1
marry 2
meanwhile 1
medical 1
meet 1
meeting 1
meets 2
miss 1
mistress 1
modern 1
more 1
move 2
moved 1
moves 1
music 1
new 2
no 1
not 2
note 1
novel 1
now 1
numerous 1
of 5
off 1
often 1
old 1
older 1
on 3
one 1
only 1
organisations 1
palembang 1
partindo 1
party 1
pasts 1
patients 1
pines 1
political 2
port 1
priok 1
proper 1
prostitute 2
pseudonym 1
radio 1
ready 2
receives 1
record 1
recorded 1
refuses 1
relationship 1
residents 1
respected 1
response 1
returns 1
revealed 1
reveals 1
rohayah 1
romantic 1
romantically 1
ruin 1
saying 1
school 2
seducing 1
serving 1
she 7
since 1
singer 1
singing 1
sings 1
siti 1
situation 1
social 1
song 1
speech 1
status 1
stay 1
staying 1
studied 1
suffering 1
sukartono 1
sumartini 1
surabaya 2
surakarta 1
surrendered 1
take 1
taking 1
talk 1
tanjung 1
tells 1
that 9
the 12
their 2
them 1
then 2
there 1
this 2
three 1
through 1
time 2
tini 12
to 23
tono 19
traditional 3
treat 1
treating 1
two 2
unable 1
unacceptable 1
under 1
university 1
virginity 1
visits 1
voice 1
void 1
waiting 1
walks 1
was 3
way 2
week 1
well 1
were 1
when 3
where 3
while 4
who 4
wife 4
with 10
women 2
work 3
worse 1
would 1
yah 14
years 1
