9514440
/m/02phdfv
/m/02phdfv
Jon Scieszka
1995
24 1
365 1
60 1
a 13
ability 1
algebra 1
almost 1
along 1
and 4
any 1
armed 1
as 2
asks 1
awakens 1
be 3
because 1
becomes 1
bed 1
begins 1
blackboardroom 1
breaking 1
brokenuntil 1
by 3
calculating 1
can 2
chalk 2
charts 1
class 1
collapses 1
comes 1
considered 1
covered 1
cupcakes 1
curse 1
day 1
days 1
do 1
dreams 1
escapeand 1
escapes 1
everything 3
experiment 1
finally 2
finds 1
followed 1
fractions 1
get 1
half 1
halves 1
her 9
heroine 1
herself 1
hours 1
how 1
in 8
innocent 1
into 3
is 6
just 1
know 1
left 1
life 4
lines 1
lunatic 1
madness 1
make 1
manages 1
many 1
math 5
mathematical 2
mentions 1
minutes 2
money 1
morning 2
must 1
nameless 1
narrator 1
needs 1
next 4
now 1
of 7
on 1
only 1
painstakingly 1
piece 1
probability 1
problem 5
problems 1
responds 1
school 1
science 2
seemingly 1
she 9
sister 1
slowly 1
solve 1
statement 1
statistics 1
store 1
student 1
study 1
teacher 2
that 4
the 12
thinking 1
this 1
through 1
time 1
to 4
transformed 1
trapped 1
treat 1
trip 1
turns 2
two 1
up 1
viewed 1
what 1
when 1
while 1
whole 2
will 1
with 3
x 2
you 1
zombie 1
