6614600
/m/0gdty_
/m/0gdty_
Charles Dickens
1848-12-19
{"/m/05hgj": "Novel", "/m/0l67h": "Novella"}
a 9
able 1
absolutely 1
additional 1
again 1
agrees 1
all 1
allow 1
an 2
and 15
anger 1
another 1
appears 1
are 2
as 6
at 2
avoid 1
awful 1
back 1
be 1
become 1
before 1
being 1
besides 1
bitterness 2
book 1
bright 1
broods 1
but 1
by 1
can 2
cancel 1
cannot 1
changed 1
characters 1
chemistry 1
christmas 1
climaxes 1
completely 1
concludes 1
consequence 2
dickens 1
doing 1
done 1
dress 1
dressed 1
ebenezer 1
everyone 1
experiences 1
explain 1
eyes 1
family 2
features 1
females 1
finally 1
first 1
forget 1
forgive 1
frequent 1
from 2
ghost 2
gift 1
give 1
given 1
gloomy 1
go 1
good 1
grief 1
grizzled 1
hair 1
haunted 1
have 2
he 4
hesitant 1
him 2
himself 1
himselfwith 1
his 8
however 1
human 1
humble 1
i 1
important 1
imposes 1
in 2
incidents 1
intervention 1
is 11
it 2
knownto 1
learns 1
life 2
like 1
likeness 1
loving 1
many 1
mature 1
memories 1
milly 3
moral 1
more 1
most 1
much 1
narrative 1
normal 1
not 1
novel 1
of 11
often 1
one 2
only 1
over 1
painful 1
past 3
people 1
person 1
phantom 1
populated 1
presents 1
proposes 1
realization 1
redlaw 11
remember 1
remembrance 1
rent 1
responsible 1
room 1
scrooge 1
semicomical 1
servants 1
shadow 1
shall 1
so 3
sorrow 1
sorrows 1
soul 1
spectre 1
spirit 2
spreads 1
stories 1
student 1
students 1
such 1
swidger 3
swidgers 1
tale 1
teacher 1
tetterby 1
tetterbys 1
that 5
the 18
their 1
them 1
then 1
this 2
those 1
to 8
trouble 1
twin 1
unburden 1
universal 1
vanishes 1
when 1
where 1
who 5
whole 1
wife 1
will 1
william 1
with 3
without 1
wrathful 1
wrong 1
wrongs 2
you 5
your 1
