5576973
/m/0dtf29
/m/0dtf29
Monica Hughes
1982
{"/m/06n90": "Science Fiction", "/m/03mfnf": "Young adult literature"}
a 4
again 1
ambrosia 1
and 4
be 1
becomes 1
brighter 1
colony 1
corrupt 1
daughter 1
david 2
decides 1
evil 1
father 1
firestones 1
flynn 2
food 1
for 3
forever 1
future 1
galactic 1
goes 1
grandson 1
great 1
guardian 1
have 1
he 2
help 1
his 2
however 2
inhabitants 1
instead 1
is 2
isis 3
jody 2
knows 1
leader 1
lifetime 1
like 1
london 4
look 1
lying 1
machine 1
mark 1
means 1
mike 3
moira 3
much 1
never 1
nkumo 3
nothing 1
obtain 1
of 5
on 1
plans 2
precious 1
president 1
promises 1
roger 2
seems 1
simply 1
son 1
spots 1
stay 1
stop 1
succeed 1
supply 1
that 1
the 5
their 1
them 2
they 1
things 1
to 6
tries 1
wanderer 1
when 1
which 2
will 2
with 3
work 1
