13349576
/m/03c2j81
/m/03c2j81
Frederic Dannay

a 4
after 1
amnesia 1
amnesiac 1
and 5
another 1
be 2
beautiful 1
been 1
bizarre 1
blackouts 1
bout 1
bring 1
but 1
by 1
can 1
classconscious 1
comes 1
committed 1
crime 1
crimes 2
criminal 1
days 1
diedrich 1
doing 1
during 2
ellery 4
england 1
events 1
from 1
has 1
home 1
horn 3
howard 4
in 1
investigate 1
is 1
it 1
leads 1
love 1
millionaire 1
murder 1
new 1
next 1
nine 1
of 7
one 1
only 1
over 1
pattern 2
queen 3
realizes 1
recent 1
request 1
reveal 1
sally 1
seem 1
seems 1
series 2
side 1
small 2
son 1
stepmother 1
suddenly 1
suicide 1
that 3
the 13
to 5
town 1
tracks 1
trail 1
triangle 1
true 1
underlying 1
underpins 1
unusual 1
van 3
what 2
with 3
wrightsville 2
wrong 1
young 1
