2300352
/m/0721pf
/m/0721pf
Agatha Christie

{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 3
about 1
age 1
an 1
and 4
are 2
as 2
authoress 1
book 1
but 1
called 1
clearly 1
code 1
dangers 1
death 1
discover 1
drawn 1
english 1
for 1
forward 1
has 1
her 1
holds 1
house 1
in 2
ingenuity 1
insight 1
into 1
is 1
jordan 1
left 1
looking 1
mary 1
message 1
more 1
move 1
mysteries 1
never 1
new 1
now 1
old 3
once 1
peaceful 1
quiet 1
rambling 1
retirement 1
secrets 1
seventies 1
someone 1
soon 1
states 1
the 1
their 3
they 2
though 1
to 2
tommy 1
tuppence 1
unnatural 1
village 1
who 1
why 1
