25175070
/m/02y2lm
/m/02y2lm
William Gibson
1982-07
a 4
acquires 1
agreeing 1
and 7
are 1
automatic 3
become 1
becomes 1
bobby 3
break 1
breakin 1
burning 1
but 1
called 1
character 1
characters 1
chrome 2
crime 1
criminal 1
decides 1
deciding 1
field 1
for 3
girl 1
go 1
grief 1
group 1
grown 1
hack 1
hackers 1
hacking 1
handles 1
hard 1
hardware 1
have 1
he 1
help 1
her 1
hollywood 1
in 2
infatuated 1
into 1
is 4
jack 4
leave 1
love 1
main 1
money 1
notorious 1
of 5
organized 1
piece 1
profit 1
quine 2
reluctantly 1
rest 1
rikki 2
russian 1
software 2
sophisticated 1
specializes 1
story 3
successful 1
system 1
systems 1
tells 1
that 1
the 9
third 1
to 8
trace 1
transfers 1
two 2
ultimately 1
unfolds 1
very 1
vicious 1
wants 1
wealthy 1
who 4
whom 2
whose 1
with 2
