1981181
/m/06bq5y
/m/06bq5y
Timothy Zahn

a 11
about 1
accepts 1
acts 1
admiral 3
admits 1
after 1
alien 2
an 7
and 10
another 1
antisurrender 1
are 3
around 1
artist 1
as 1
at 3
attempt 2
attempts 1
base 2
bastion 1
battle 1
be 1
because 1
being 2
bel 1
book 2
bothan 1
bothans 2
bothawui 3
by 4
caamas 3
called 2
calrissian 1
camaas 1
characters 1
civil 1
clone 1
con 1
confrontation 1
copy 1
dead 1
destroyed 1
destroyers 1
die 1
disra 1
document 2
down 1
du 1
due 1
empire 4
end 1
escape 1
expedition 1
few 1
fighting 1
find 1
fingers 1
finish 1
flash 1
flim 1
for 1
forces 1
fortress 1
four 1
from 1
frvision 1
furthermore 1
futur 1
galaxy 1
garm 1
gather 1
gavrisom 1
gilad 1
grand 1
han 1
hand 1
he 2
hires 1
homeworld 1
hopes 1
however 1
hundred 1
iblis 1
idea 1
imperial 7
impersonate 1
in 6
including 1
initiates 1
into 1
involving 1
is 4
issue 1
it 2
its 1
jade 1
justice 1
knocks 1
lando 1
leia 1
lie 1
losing 1
luke 3
made 1
major 2
many 2
mara 3
meanwhile 1
mention 1
minor 1
moff 1
more 1
most 1
new 3
notable 1
novel 1
now 1
of 10
off 1
officials 1
on 1
only 1
orbit 1
out 1
over 3
peace 2
pellaeon 2
planet 1
planetary 2
plot 1
plotlines 1
point 1
ponc 1
possible 1
preliminary 1
president 1
princess 1
proposes 1
provoke 1
races 1
raid 1
rally 1
reach 1
regions 1
rejoin 1
representative 1
republic 3
returning 1
revealed 2
revolve 1
sabotage 2
secrets 1
section 1
sectors 1
seeking 1
settle 1
several 2
shape 1
she 1
shield 2
shortly 1
sides 1
signed 1
skywalker 1
sneak 1
so 1
solo 1
star 1
successfully 2
survivors 1
systems 1
take 1
talks 1
team 1
than 1
that 5
the 23
there 1
they 1
this 2
thrawn 4
three 1
thumb 1
to 11
travel 1
treatment 1
treaty 1
ubiqtorate 1
unaltered 1
underfoot 1
unknown 1
various 1
vehemently 1
wait 1
war 1
wars 1
warships 1
was 2
what 1
when 1
who 1
will 1
with 1
world 1
would 3
yaga 1
