2678701
/m/07xdpz
/m/07xdpz
Kate Tremayne
2000-12-07
{"/m/01qxvh": "Romance novel", "/m/0hwxm": "Historical novel"}
a 1
adam 1
also 1
always 1
and 2
as 1
banker 1
both 1
by 1
censure 1
challenge 1
chaos 1
dead 1
debts 1
despite 1
dreamed 1
encouraged 1
face 1
facing 1
falls 1
family 2
father 1
financial 1
foolish 1
for 1
found 1
france 1
gang 1
growing 1
gypsy 1
has 1
have 1
he 1
his 4
in 5
into 1
investments 1
is 1
john 1
leaves 1
legacy 1
lot 1
love 1
lovedays 1
meanwhile 1
meriel 1
mysterious 1
new 1
of 4
order 1
plunges 1
repercussions 1
revolution 1
riches 1
river 1
ruin 1
senara 1
smugglers 1
st 1
struggles 1
thames 1
the 7
them 2
this 1
throws 1
to 2
when 1
wife 1
win 1
with 2
woman 1
