1699251
/m/05pc2p
/m/05pc2p
René Goscinny
1963

8 1
a 24
about 3
accidentally 1
accompany 1
acquires 1
across 1
actually 3
after 3
again 3
agreed 1
all 2
allows 1
almost 1
alone 1
along 2
also 2
although 5
ambush 2
ambushed 1
an 5
and 60
annual 1
another 4
any 1
approach 1
are 15
armor 1
arms 1
army 4
around 1
as 7
asking 1
asks 1
assaulting 1
asterix 19
asterixian 1
at 6
atmospheric 1
attacking 1
attempts 1
attracts 1
away 1
back 3
bag 1
band 2
banquet 1
barracks 1
bash 1
be 5
beans 1
beat 2
beats 1
becomes 1
been 1
before 1
begin 2
begins 1
being 3
believing 1
best 1
bless 1
blows 1
border 6
bossed 1
bray 1
breaks 1
brew 1
brews 1
bright 1
brought 2
browbeaten 1
but 3
by 8
calls 1
can 2
candidates 1
captives 1
capture 1
captured 2
capturing 1
carnutes 2
carrying 1
casualties 1
causes 1
celebration 1
centurion 1
chance 1
charges 1
chief 1
chieftain 2
chieftains 2
chieftainship 1
choleric 1
circus 1
clothing 1
come 1
comes 1
completely 1
comrades 1
conference 4
confident 1
conflicts 1
confusing 2
conquer 1
convince 2
cooking 1
cooperate 1
countries 1
cover 2
created 1
cross 1
crossing 1
customs 1
days 1
deceiving 1
decide 2
defeat 1
devise 1
dictator 1
direct 1
disappointment 1
discord 1
disguise 1
disguises 1
disguising 1
dismisses 1
do 2
does 1
donkey 1
door 1
druid 5
druids 3
during 3
each 6
eager 1
eagerness 1
easily 3
east 1
eating 1
edge 1
electric 1
empire 2
energy 1
enter 2
escape 1
esoteric 1
euphoric 1
eventually 1
executed 1
execution 2
fat 1
fearing 1
fellow 1
fight 1
fighting 2
figure 1
finally 1
find 1
first 6
flatly 1
flee 2
for 12
foreign 1
forest 4
friend 2
from 1
full 2
futile 1
gag 2
gagged 1
gagging 1
gaul 4
gaulish 3
gaulishgothic 1
gauls 7
general 4
germania 3
germans 1
get 3
getafix 12
give 1
given 1
gives 2
giving 1
glad 1
go 1
goes 1
golden 1
gone 1
goods 1
goth 2
gothic 8
goths 14
guards 1
had 2
hair 1
has 4
he 15
helmet 2
herbs 1
heroes 2
hiding 1
him 11
himself 2
his 9
home 1
however 1
i 1
idea 1
if 2
immediately 1
importing 1
in 18
incident 1
infiltrating 1
informed 1
informs 1
ingredients 1
initially 1
inside 1
instantly 1
instead 1
intending 1
into 6
invade 1
invaded 1
invading 2
invasion 4
is 10
isnt 1
it 1
jail 3
jailer 1
journey 1
just 1
kidnap 1
known 1
lands 1
last 3
laughter 1
leave 2
leaving 2
left 1
legionaries 6
legionary 5
let 1
lies 1
like 3
lions 1
list 1
little 1
looks 1
magic 6
magical 1
make 1
makes 2
making 2
man 1
many 1
may 1
meanwhile 3
meet 2
members 1
menhir 1
metric 5
mission 1
mistake 1
mistakes 1
moon 1
more 2
much 2
names 1
nearby 1
need 1
nervous 1
new 1
nondruids 1
not 2
obelix 19
occupied 1
of 24
off 1
officer 1
on 3
once 1
one 3
open 1
other 7
our 2
out 3
outside 1
over 1
part 1
patrol 6
peacekeeping 1
pickelhaube 1
pictures 1
play 1
poor 1
position 1
potion 8
power 1
powers 1
prehistoric 1
present 2
pretext 1
prison 2
prisoners 1
prize 1
probably 1
promising 1
promptly 1
proves 1
provided 1
public 1
question 1
raise 2
rather 1
realizing 1
refuses 3
reinforcements 1
remain 1
report 1
reports 2
rescue 1
resists 1
return 1
returning 1
reveals 2
reward 2
rhetoric 10
right 1
roman 6
romans 7
rome 3
run 1
running 4
safety 1
same 1
say 1
saying 1
says 1
scheme 1
screams 1
searching 1
seats 2
see 1
sends 1
sentenced 1
set 2
should 1
sneak 1
sneezes 1
so 3
some 1
soon 2
soup 1
sowing 1
speak 2
speaks 1
spend 1
spill 1
spot 1
spots 1
standing 1
stealing 1
storms 1
story 1
streets 1
strength 1
stun 1
stunning 1
stupidly 1
successfully 1
superhuman 1
surrender 1
suspicious 1
sweep 1
take 3
taking 1
talk 1
tartaric 1
tent 1
territory 1
than 2
thanks 1
that 9
the 88
their 13
them 10
themselves 1
then 2
they 20
think 2
thinking 1
this 1
thoroughly 1
those 1
threaten 1
threatened 1
three 1
through 1
throw 1
throwing 1
thrown 3
thus 1
tie 1
tied 2
tiedup 1
time 2
to 36
told 2
torture 1
towards 1
town 2
translator 1
traveling 1
tribes 1
trying 3
two 9
unaware 1
under 1
unfortunately 1
ungagged 2
untouched 1
up 8
use 1
used 1
uses 2
usual 1
valuaddetax 1
village 1
visigoth 1
visit 1
wander 1
wanted 1
war 1
wars 1
was 1
weapons 1
week 1
welcomed 1
what 1
when 7
which 8
while 3
whiskers 1
who 11
whose 1
wife 1
will 3
wins 1
with 9
woods 2
world 1
worn 1
would 2
wouldbe 1
year 1
years 1
you 1
young 3
