12014265
/m/02vlzcp
/m/02vlzcp
Chris D'Lacey

a 35
about 2
aching 1
after 1
again 1
age 1
alexa 10
all 4
amused 1
an 2
and 55
annoyed 1
apparent 1
appears 2
arctic 4
are 8
arms 1
arrives 1
as 9
ask 1
asks 1
at 7
author 1
avrel 4
back 4
bear 3
bears 1
been 1
before 3
beginning 1
being 2
bergstorm 1
bernard 2
black 1
blackburn 1
book 3
bookshop 1
bought 1
brands 1
bring 2
brother 1
bursts 1
but 6
buy 1
by 1
called 3
can 1
caps 1
car 1
changes 1
changing 1
chapter 2
chapters 1
charmed 1
chases 1
claim 1
closes 1
comes 4
consultation 1
consumes 1
countless 1
crescent 1
cries 1
cuts 1
darkling 2
daughter 3
david 17
day 4
dead 2
death 1
decides 2
died 1
dies 1
disappear 1
discovers 1
disguised 1
do 1
does 3
door 2
down 1
dr 1
dragon 2
dragons 2
earth 2
email 1
end 1
enter 1
enters 1
erases 1
events 1
every 2
evil 1
exit 1
explain 1
extra 1
eye 1
eyes 4
fain 1
fairy 2
farell 2
farlowe 1
farrell 1
farwole 1
fateful 1
father 1
feels 1
feet 1
few 1
fighting 1
filled 1
find 2
finds 2
fire 3
first 1
flaw 1
flies 1
flip 1
flower 1
followers 1
following 1
follows 1
for 3
forced 1
forces 1
form 1
four 1
fox 1
from 2
gaia 2
garden 1
gardens 1
gave 1
get 3
gets 1
girl 1
give 1
gives 2
glant 1
go 5
goddess 1
goes 6
going 2
gone 1
greets 1
grows 1
gwendolen 2
gwilanna 4
gwillanna 1
gwillian 1
had 2
happening 1
has 4
haunting 1
having 2
he 8
head 1
healing 2
heart 3
help 1
her 22
herself 1
him 5
himself 2
his 8
home 1
house 3
how 2
ice 4
icefire 2
if 1
image 2
in 17
including 1
ingavar 7
instructed 1
instructs 1
into 5
inuit 2
invade 1
investigates 1
invisible 1
invites 1
is 28
it 8
ix 5
journalist 1
jumps 2
just 1
kailar 1
key 1
killed 1
knife 1
knocks 1
knowledge 1
knows 1
later 2
leads 1
leaving 1
legends 1
letter 3
library 1
light 1
like 2
lived 1
living 2
liz 8
looks 1
lucy 14
mammoth 1
man 3
may 2
meanwhile 2
meet 1
meeting 1
melt 1
memories 1
memory 2
men 1
message 1
met 1
might 1
mom 1
moodily 1
mouths 1
named 1
neck 1
need 2
needs 1
neighbors 1
never 2
new 1
night 2
no 2
north 1
not 2
noticed 1
of 14
old 2
on 10
one 4
only 1
onto 1
oomara 2
opens 1
or 1
out 6
packs 1
pain 1
parents 2
partner 1
passed 1
passes 1
path 1
pennykettles 1
petals 1
phone 2
phones 1
piece 1
place 1
play 1
poet 1
poetry 2
polar 1
portal 4
pregnant 1
projects 1
pull 1
puts 1
putting 1
rather 1
raven 2
ray 1
reader 1
reading 2
reads 1
really 1
remembers 1
restless 2
revealed 1
revealing 1
right 1
rising 1
role 1
room 3
runs 1
sadness 1
save 1
saves 1
saw 2
saying 1
scaline 1
scars 1
schedules 1
see 1
sees 2
sends 2
shapeless 1
she 20
shop 3
shopping 1
short 1
side 1
since 1
skies 1
sky 2
slightly 1
slowly 1
sneaks 1
so 4
some 1
something 1
soon 1
souls 2
spell 1
spirit 2
squirrel 1
star 1
starving 1
steals 1
still 1
stopping 1
store 1
stuck 1
stuff 1
suffer 1
suspicious 1
talks 1
tam 15
tear 1
tell 1
teller 1
telling 4
tells 8
that 19
the 62
them 2
then 5
there 6
these 1
they 7
things 1
thoran 2
through 1
time 1
to 35
touch 2
towards 1
toy 2
travel 1
tricked 1
trying 1
turn 2
turns 3
two 1
up 2
upon 1
upset 1
valentine 1
violet 2
walked 1
walks 2
was 1
ways 1
weather 1
what 3
when 2
where 1
which 1
while 1
white 1
who 1
whose 1
wilder 1
will 1
with 9
word 2
works 1
world 2
writes 3
wrote 1
year 1
yet 1
zanna 24
