1949492
/m/06892n
/m/06892n
Ray Loriga


a 4
account 1
act 1
all 1
also 1
an 2
and 4
arizona 1
around 1
as 2
author 1
authors 1
begins 1
book 1
caught 1
characters 1
deja 1
details 1
device 1
different 1
disjointed 1
drug 4
encounters 1
epileptic 1
erasing 1
eventually 1
ever 1
every 1
firstperson 1
for 3
forwarding 1
get 1
gives 1
goes 1
having 1
haze 1
he 2
him 2
his 3
in 2
inspiration 1
interesting 1
invented 1
inventor 1
is 2
it 1
lead 1
loss 2
meet 1
memory 4
mental 1
minor 1
much 1
musings 1
of 6
omit 1
on 1
outlets 1
own 1
pages 1
part 1
peddling 1
places 1
plot 1
pretty 1
product 1
promiscuous 1
protagonist 1
salesman 1
sampling 1
seizures 1
sexual 1
smattered 1
temporary 1
the 9
thought 1
through 1
to 4
told 1
took 1
transitional 1
travelling 1
up 1
varieties 1
various 1
vu 1
wishes 1
with 2
without 1
world 1
