4051817
/m/0bfncb
/m/0bfncb
Yasunari Kawabata
1949
a 10
about 1
adult 1
affair 1
again 1
aging 2
alive 1
along 1
already 1
although 2
an 2
and 20
appear 1
are 1
as 6
associates 1
at 2
attachment 1
attendant 1
attractiveness 1
awakens 1
aware 1
away 2
be 3
beautiful 1
becomes 1
been 1
before 1
beginning 1
begins 2
begun 3
being 1
birds 1
bitter 1
blames 1
blood 1
businessman 1
but 3
by 2
centers 1
change 1
cherry 1
children 2
close 1
closely 1
comes 1
coming 1
commuter 1
companionship 1
complicating 1
consultation 1
contrast 1
coughed 1
custom 1
daily 1
daughter 2
daughterinlaw 1
daughters 1
day 1
dead 1
death 1
decline 1
depth 1
devotion 1
died 1
difficulties 1
disturbing 1
does 1
dreams 2
each 1
early 1
earth 1
eiko 1
else 1
end 1
erotic 1
even 1
evening 1
events 1
experience 2
face 1
failing 1
family 4
far 1
father 1
fatherly 1
filial 1
flights 1
for 4
friends 2
from 3
fruit 1
fusako 2
had 2
hallmark 1
has 5
he 9
hear 1
heard 1
her 4
herself 1
him 2
himself 1
his 24
home 1
homeliness 1
house 2
husband 3
images 1
impending 1
in 9
include 1
including 1
infatuation 1
infidelity 1
insects 1
interpreted 1
involved 1
is 3
its 4
itself 1
japanese 1
kamakura 1
kikuko 2
knows 1
lapses 1
left 1
life 1
like 2
lives 1
love 1
loving 1
man 1
marital 1
marriage 1
marriages 1
married 1
matters 1
may 1
medical 1
meditation 1
meditations 1
members 1
memory 1
mistress 1
more 2
mortality 1
mountain 1
natural 1
new 1
night 1
no 1
noise 1
not 4
novel 3
observe 1
occasionally 1
of 16
ogata 1
old 1
older 1
omen 1
on 1
once 2
one 3
only 1
or 1
other 2
outwardly 1
own 2
parenting 1
parents 1
patriarch 1
perceives 1
perspective 1
philandering 1
physical 1
pine 1
poor 1
possessed 1
possible 1
present 1
pressure 1
provoking 1
puts 1
question 2
quiet 1
quietly 1
quit 1
realizes 1
recall 1
regrets 1
relations 1
represented 1
resentment 1
retirement 1
returned 1
routine 1
rumbling 1
same 1
secretary 1
sees 1
she 1
shingo 6
shuichi 3
sign 1
sister 1
sixtytwo 1
sleep 1
socially 1
son 2
sought 1
sound 1
sounds 1
strange 1
strongly 1
subsequently 1
suffering 1
summer 1
symptom 1
takes 1
tanizaki 1
temporary 1
terms 1
than 1
that 4
the 25
this 1
time 1
titular 1
to 15
tokyo 1
traditional 1
train 1
tree 1
trees 1
truly 1
tuberculosis 1
two 2
uncomfortably 1
unfaithfulness 1
up 1
upon 4
waking 1
way 1
went 1
which 1
who 6
whole 1
whose 1
wife 2
wind 1
window 1
with 8
witnessed 1
woman 1
works 1
world 1
yard 1
yasuko 3
year 1
years 1
yet 1
young 3
