60266
/m/0gd4j
/m/0gd4j
Len Deighton
1964
a 3
addition 1
agent 1
an 2
and 2
apparent 1
arrange 1
be 1
becomes 1
behind 1
being 1
berlin 2
bloodstained 1
british 1
brokered 1
but 1
by 1
case 1
cold 1
colonel 1
community 1
deadly 1
deal 1
defection 1
despite 1
documentation 1
elaborate 1
enmeshed 1
espionage 1
facade 1
fake 1
for 1
funeral 1
game 2
germany 1
government 1
hallam 1
have 1
his 1
home 1
in 5
initial 1
intelligence 2
intricate 1
involved 1
is 3
israeli 1
it 1
johnny 1
legacy 1
lies 1
manoeuvres 1
mock 1
moves 1
named 2
nazi 1
needs 1
of 7
office 1
precisely 1
protagonist 1
russian 1
ruthless 1
samantha 1
scepticism 1
scientist 1
securitychief 1
seems 1
semitsa 2
soon 1
soviet 1
specified 1
steel 1
stok 1
support 1
tactics 1
that 1
the 11
this 1
to 4
travels 1
unnamed 1
vulkan 1
war 1
which 1
who 1
