3285752
/m/093cwq
/m/093cwq
Bernard Cornwell
2003
{"/m/0hwxm": "Historical novel"}
5th 1
a 14
accompany 1
acting 1
acts 1
aftermath 1
afternoon 1
again 1
against 2
agent 1
all 1
ambushed 1
and 17
are 4
army 4
as 2
assures 1
at 3
attempt 1
barricade 1
be 3
beauty 1
better 1
bitter 1
boats 1
both 1
bravery 1
bridge 1
britain 1
british 5
but 2
by 5
can 1
catching 1
caught 1
ceremony 1
christopher 6
city 1
collaborating 1
colonel 1
combat 1
comes 1
confers 1
confidently 1
conspire 1
country 1
cross 1
crosses 1
cut 1
daughter 1
deceased 1
decide 1
decided 2
declare 1
defenses 1
demanding 1
desperate 2
despite 1
detachment 2
dignitary 1
disposed 1
division 1
done 1
duped 1
during 1
encouraging 1
englishwoman 1
enrichment 1
entrenched 1
escape 1
expects 1
expose 1
father 1
flee 1
fleeing 1
for 5
force 2
forces 1
foreign 2
fortune 1
french 11
from 2
general 1
goes 1
going 1
gradually 1
group 1
hand 2
harm 1
has 3
hatred 1
have 2
he 5
help 1
her 5
him 1
himself 2
his 8
in 11
initially 1
instead 1
investigate 1
is 5
joined 1
jorge 4
judgment 1
kate 5
kills 1
king 2
lasting 1
law 1
lawyers 1
leading 1
led 1
lieutenant 1
lines 1
lord 1
lt 1
main 1
makes 1
managed 1
married 1
marshall 1
men 5
merchant 1
might 1
mission 1
monopoly 1
mother 1
napoleon 1
narrow 1
nicolas 1
no 1
nonetheless 1
not 1
of 14
off 1
offers 1
office 2
officers 1
on 4
one 2
openly 1
oporto 1
ordered 1
other 1
out 2
overlooked 1
own 1
patriotism 1
permanent 1
point 1
port 2
portugal 3
portuguese 2
possibility 1
prominent 1
provacateur 1
pumphrey 1
pursuit 1
push 1
realizes 1
reasons 1
rebellious 1
recently 1
rejoin 1
rescues 1
respect 1
retreat 4
retrieve 2
return 1
richard 1
riflemen 1
rifles 1
right 1
river 1
rulers 1
savage 1
saved 1
says 1
scheming 1
scouts 1
secret 2
seduced 1
seen 1
sent 1
sham 1
sharpe 10
she 1
should 1
simply 1
situation 1
small 2
soldiers 1
soult 2
sparked 1
spots 1
spy 1
student 1
temporarily 1
that 4
the 36
their 2
them 3
themselves 1
then 1
through 1
thus 2
time 1
to 18
trade 1
traitor 1
truth 1
turncoat 1
unexpectedly 1
unknown 1
up 2
use 1
used 1
victory 2
vincente 1
war 1
way 2
weak 1
wellesley 1
when 2
while 2
who 3
win 1
with 5
young 1
youthful 1
