6881654
/m/0gv1l1
/m/0gv1l1
John Gardner
1972
160s 1
a 5
absolute 1
all 1
and 4
as 2
attempts 1
audiocassette 1
babylonian 1
background 1
batavia 2
behind 1
believes 1
but 1
butt 1
by 1
champion 1
characters 2
chief 1
clumly 3
come 1
contact 1
dialogues 1
down 1
each 2
exert 1
existential 1
follows 1
for 1
fred 1
freedom 1
heads 1
him 1
his 2
ideological 1
in 5
into 1
is 1
it 1
judeochristian 1
justice 1
known 1
law 2
magic 1
magician 1
man 2
many 1
myriad 1
new 1
not 1
novel 1
number 1
of 6
on 1
only 1
order 1
other 2
otherclumly 1
over 1
philosophy 1
plot 1
police 1
power 1
prebiblical 1
provides 1
pursuit 1
recorded 1
set 1
sidestories 1
sunlight 2
the 9
their 1
these 1
they 2
to 1
two 2
view 1
violenceuntil 1
wear 1
whom 1
with 3
world 1
york 1
