4911172
/m/0ctt60
/m/0ctt60
Dean Koontz
1996
{"/m/01jfsb": "Thriller", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 27
aboard 1
about 1
abused 1
acceptance 1
adopts 1
adventurer 1
aids 1
all 1
allow 1
ammonia 1
an 1
and 34
any 1
anyone 1
are 1
ariel 10
as 4
at 3
attack 1
attacks 1
attempting 1
attendant 1
away 4
back 1
basement 2
bed 1
before 7
begun 1
binding 1
board 2
boast 1
breaking 1
breaks 2
but 2
by 4
can 3
car 5
catatonia 1
catatonic 1
catches 2
causing 1
chain 1
chained 1
chains 1
chair 1
child 1
childhood 1
chyna 24
clerks 1
clothing 1
college 1
comes 1
compelled 1
continually 1
continues 1
corpse 1
county 1
covering 1
crashes 1
crimes 1
crippled 1
dead 1
deadly 1
death 1
decides 1
details 1
disable 1
discover 1
discovered 1
distracting 1
do 1
dobermann 1
dogs 2
dogtraining 1
downstairs 1
dresses 1
driver 1
drives 2
earliest 1
eating 1
edgler 1
encounters 1
end 2
enough 1
ensuing 1
escape 3
escapes 2
except 1
existential 1
exit 1
experience 1
fails 1
falls 1
family 1
fascinated 1
father 1
feels 1
few 1
find 2
finds 4
flames 1
follow 1
follows 1
for 4
free 2
friend 2
from 4
gas 5
gasoline 1
get 3
gets 1
girl 2
goes 2
grabbed 1
ground 1
guard 1
has 5
he 9
heads 1
hears 1
help 1
her 14
hides 2
highway 2
him 4
himself 1
his 9
holding 1
home 6
homicidal 1
house 6
if 1
ignite 1
immediately 1
in 14
inside 1
intending 1
intensity 1
intervene 1
into 7
investigate 1
is 6
it 3
kill 3
killed 1
killer 1
kills 3
kitchen 2
knife 1
knocks 1
later 1
laura 8
leaves 1
lighter 1
live 1
local 1
locked 1
long 2
love 1
man 1
meets 2
mentally 1
methodically 1
months 1
mother 2
motor 6
motorist 1
neglected 1
night 1
not 1
obsessed 1
occupants 1
of 6
offers 1
on 6
only 1
opportunity 1
or 1
out 4
over 2
pack 1
park 1
particular 1
passes 1
passing 1
past 2
phone 1
phrases 1
pinschers 1
planning 1
police 2
prison 1
prisoner 1
promising 1
property 1
provides 1
pulls 1
punching 1
rams 1
raped 1
reaches 1
redwood 1
releases 1
rescued 1
return 1
revealing 1
road 1
rolling 1
room 3
runs 1
safety 1
screaming 1
searches 1
seat 1
see 1
sees 1
sensory 1
serial 1
she 19
shed 1
shepard 1
sheriff 1
shot 1
shotgun 1
showdown 1
shower 1
signal 1
since 1
slamming 1
small 1
sneaks 5
so 1
soaking 1
something 1
speak 1
spider 1
sprays 1
stabbed 1
stairs 1
state 1
station 4
stops 1
student 1
styles 1
surreptitiously 1
table 1
take 1
takes 2
taunts 1
templeton 2
that 3
the 38
them 2
then 2
they 1
this 2
though 1
through 2
tied 2
time 1
tip 1
to 32
toilet 1
torturing 1
trained 1
traveling 1
tree 1
unaware 1
unconscious 1
under 1
until 1
up 3
upstairs 1
uses 2
vehicle 1
vess 21
violent 1
visiting 1
waits 1
wall 1
was 1
watches 2
weekend 1
what 1
when 2
which 1
while 3
who 3
will 1
with 5
work 1
wreck 1
yearned 1
young 1
