5245125
/m/0d9qsz
/m/0d9qsz
Ruth Rendell
1996
a 9
about 2
accident 1
accused 1
actually 1
addict 1
affair 1
after 1
against 1
alistair 2
along 1
although 1
always 1
an 4
and 6
anonymous 1
appointment 1
around 2
as 1
ashton 1
asking 1
bean 2
beat 1
beating 1
beats 1
because 1
bone 1
boyfriend 1
breaks 1
brother 2
but 1
cahill 1
call 1
children 1
clancy 1
comes 1
corpse 1
couple 1
day 1
decker 1
di 1
died 1
dislike 1
doesnt 1
dogs 1
dogwalker 1
dominic 1
donate 1
drug 1
effie 1
finding 1
finds 1
five 1
follows 1
for 1
gate 1
goes 1
gushi 1
had 1
has 1
he 4
her 3
him 3
his 5
hob 1
homeless 4
housesitting 1
impaler 1
in 4
including 1
irishman 1
is 1
jago 1
james 1
john 1
keys 1
killer 1
known 1
leo 2
leslie 1
leukemia 1
life 3
live 1
london 1
makes 2
man 1
marnock 1
marrow 1
mary 3
meantime 1
much 1
mysterious 1
nash 1
neck 1
newspaper 1
nickname 1
of 4
old 1
other 1
out 2
over 1
park 2
patient 1
pay 1
people 1
pharaoh 2
phone 1
plans 1
police 1
prefers 1
private 1
prolonged 1
questions 1
regent 1
rich 2
roman 1
second 1
secretive 1
see 1
she 3
shih 1
since 1
so 1
spikes 1
starts 3
street 1
suspecting 1
take 1
the 14
there 1
to 7
traffic 1
twice 1
tzu 1
up 3
victim 3
volunteers 1
want 1
was 1
wearing 1
when 1
who 2
whose 1
wife 1
will 1
william 1
with 4
woman 1
