9662
/m/02mr5
/m/02mr5


{"/m/02mdj1": "Religious text"}
603550 1
a 9
aaron 6
ablebodied 1
about 1
abraham 1
accept 1
according 1
adrift 1
adult 1
again 1
agree 2
all 6
allowing 1
altar 1
am 2
among 1
an 2
and 48
anger 1
animals 3
any 1
apostasy 1
appear 1
appears 1
appointed 1
appoints 1
appurtenances 1
arduous 1
are 5
ark 1
army 1
arrive 2
as 4
ascend 1
ascends 1
asks 2
assembles 1
assembly 1
at 6
aware 1
baby 1
be 6
beating 1
beats 1
become 1
becomes 1
before 1
begins 2
blood 3
bodies 1
boils 2
boys 1
brings 1
brother 1
bulrushes 1
burning 1
bush 1
but 6
by 3
calf 1
calls 2
canaan 2
causes 3
causing 1
celebrate 1
change 1
charge 1
child 1
children 1
chosen 1
civil 1
cloud 1
clouds 1
code 2
comes 2
commanded 1
commandments 4
commands 2
complain 1
construct 1
construction 2
containing 2
could 1
counting 1
covenant 1
cover 1
covers 1
crops 2
crossing 1
daily 1
darkness 2
daughter 2
day 2
days 1
death 1
decalogue 2
demand 1
depart 1
descends 1
desert 1
destroys 2
destruction 1
detailed 1
dictates 1
did 1
die 2
disease 1
do 1
doorposts 1
down 5
dwell 1
dwelt 1
eat 1
egypt 9
egyptian 10
elders 1
encounters 1
enumerated 1
ethical 1
even 1
every 1
everything 1
exodus 1
face 2
families 1
family 1
fatherinlaw 1
fearful 1
feast 1
finds 1
finger 1
finished 1
fire 1
first 2
firstborn 3
fish 1
flee 1
flocks 1
food 1
foot 1
for 8
frogs 2
from 5
gather 1
gave 2
gnats 2
go 2
god 34
goes 1
golden 1
grown 1
had 1
hail 1
harden 1
has 4
have 1
havoc 1
he 8
hear 1
hearing 1
heart 1
hebrew 1
hebrews 3
hence 1
her 2
herds 1
hereditary 1
hide 1
high 1
him 6
his 13
holiday 1
homes 2
hordes 1
i 2
if 1
in 9
indicate 1
inform 1
informs 1
instructions 2
instructs 2
into 5
invade 2
is 5
israel 4
israelites 8
its 1
jethro 2
jewish 1
joshua 1
judges 1
keep 2
kill 1
killed 1
kills 1
lamb 1
land 3
lands 1
law 2
lead 1
leaving 1
let 1
levite 1
levites 2
lice 2
lightning 1
line 1
livestock 1
locusts 2
long 1
make 1
makes 1
males 1
manna 1
mark 1
marries 1
massacre 1
masses 1
meeting 1
midian 2
mind 1
miraculous 1
moses 28
mountain 13
name 2
names 1
new 1
newborn 1
nile 1
not 1
numbers 1
obey 1
of 43
offered 1
on 5
one 1
onwards 1
or 3
ordain 1
ordered 1
orders 1
origins 1
out 1
over 2
overseer 1
own 1
painful 1
passed 1
passover 1
peak 1
people 11
permanently 1
personally 1
pestilence 1
pharaoh 6
plague 2
plagued 1
plagues 1
pleads 1
possibly 1
presence 2
priest 2
priesthood 1
priestly 1
priests 1
procedure 1
promised 1
promises 1
pronounces 2
proves 1
provides 1
pursues 1
receive 1
received 1
red 1
refuses 1
relent 1
relents 1
remaining 1
repeats 1
replies 1
return 1
returns 1
reveals 1
ritual 2
river 1
sabbath 1
sacrificed 1
sacrifices 1
saves 1
sea 1
see 1
series 1
set 2
setting 1
severe 1
slave 1
smashes 1
smoke 1
so 3
sound 2
spoken 1
stone 3
strike 1
struck 1
suf 1
suggestion 1
swarm 2
tabernacle 4
tables 1
tablets 5
tells 1
ten 4
tent 1
that 11
the 97
their 5
them 9
there 1
they 5
this 2
threatens 1
three 1
thrown 1
thunder 1
time 2
to 32
together 1
told 1
transformed 1
travels 1
trembling 1
trumpets 1
turned 1
two 2
undrinkable 1
unfaithful 1
up 5
upon 1
used 1
veil 1
vestments 1
victory 1
visits 1
voice 1
was 2
water 2
waters 1
weather 1
well 1
were 1
when 2
whenever 1
where 3
whether 1
which 3
while 1
who 2
wild 2
will 2
with 9
woman 1
words 3
worship 1
would 1
wrecking 1
write 1
writes 2
written 1
yahweh 5
yam 1
