1624408
/m/05hkwd
/m/05hkwd
Robert Harris
1998
{"/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 7
able 1
after 2
agents 2
alarming 1
an 2
and 8
apparent 1
appears 1
are 1
arkhangelsk 1
as 1
assume 2
at 3
attending 1
authorities 1
be 5
been 2
before 1
being 1
believed 1
believes 1
beria 1
black 1
boards 1
book 1
but 1
by 3
cabin 1
case 1
chosen 1
christopher 1
city 1
claims 1
comes 1
command 1
conference 1
control 1
copy 1
country 1
crowd 1
crowds 1
daughter 2
death 3
decided 1
diary 1
dictator 1
dispassionate 1
doors 1
each 1
effects 1
eliminate 1
ends 1
eventually 1
everlarger 1
extract 1
face 2
famous 1
father 1
fatherwe 1
filled 1
fluke 1
following 1
for 3
from 2
gather 1
girl 1
go 1
had 3
has 3
have 1
he 9
headed 1
heir 1
her 2
him 5
his 5
historian 1
husbandandwife 1
ideological 1
immediately 1
in 5
infancy 1
into 1
is 3
it 3
itand 1
joseph 1
just 1
kelso 5
kgb 1
knows 1
kolyma 1
kremlin 1
lavrenty 1
learn 1
left 1
locates 1
location 1
log 1
made 1
man 1
measures 1
memoirs 1
messenger 1
met 1
might 1
moscow 3
mother 1
murdered 1
mysterious 1
named 2
near 1
never 1
northern 1
not 1
notebook 2
novel 1
of 9
off 1
old 1
out 1
overcomes 1
papu 1
personal 1
physical 1
pistol 1
present 1
promised 1
proves 1
raised 2
rapava 4
recaptured 1
recorded 1
remote 1
resurrection 1
revealed 1
ruthless 1
secret 2
secure 1
sent 2
shadowy 1
should 1
simply 1
son 2
specialforces 1
speeches 1
spent 1
stalin 8
station 2
steps 1
still 2
stride 1
supposedly 1
takes 1
that 5
the 20
there 1
they 1
thing 1
though 1
through 1
time 1
to 14
told 1
took 1
tortured 1
trail 1
train 3
tried 1
unit 1
untrustworthy 1
use 1
violence 1
was 1
watching 1
way 1
were 1
when 2
which 1
while 1
who 3
with 2
witness 1
would 1
writings 1
years 1
young 2
