336499
/m/01xkm4
/m/01xkm4
Pat Conroy
1980
{"/m/02xlf": "Fiction", "/m/016lj8": "Roman \u00e0 clef"}
163 1
167 1
a 1
admission 1
against 1
an 1
and 3
attends 1
based 1
battle 1
beginning 1
body 1
carolina 1
charleston 1
citadel 1
college 1
conflict 1
describes 1
extensive 1
fictional 1
final 1
first 1
flashback 1
focuses 1
four 1
fourth 1
freshmen 1
from 1
his 4
in 2
institute 1
into 2
is 1
main 1
mclean 1
military 2
mysterious 1
narrator 1
new 1
novel 2
of 3
on 2
own 1
part 1
parts 1
place 1
plebe 3
relates 1
second 1
senior 2
system 2
takes 1
ten 1
the 14
third 1
to 2
will 2
with 1
year 3
