16525158
/m/03y979b
/m/03y979b
Robert Jordan
1982
a 32
abilities 1
adventures 1
against 1
agent 1
aid 1
albanus 24
albnus 1
all 6
allays 1
along 1
also 2
amarianus 1
ambushed 1
ambushers 1
ambushes 1
an 4
ancient 2
and 49
animates 1
appears 1
appease 1
archer 2
are 15
arena 1
ariane 7
armed 1
as 14
asked 1
assassins 1
at 7
attacked 4
attempt 2
auditoriums 1
be 7
because 1
been 2
behest 1
being 2
believes 1
belverus 5
best 1
besting 1
betray 1
betrayed 2
beware 1
blade 2
bodyguard 1
book 1
boss 1
bounty 1
brewing 1
bruises 1
busy 1
but 4
butchery 1
by 22
can 1
captured 2
case 1
cause 1
cautious 1
chant 1
chanting 1
chooses 1
city 1
clay 1
come 1
comes 1
commander 1
company 4
conan 51
confronts 1
conspirator 1
conspirators 1
constanto 1
contrasting 1
controlling 1
could 1
courtyards 1
cover 1
create 1
creep 1
day 1
death 1
decides 2
deliver 1
demetrio 2
demon 3
demonstrates 1
describes 1
desire 1
destroy 1
devices 1
devoured 1
dictates 1
did 1
dies 1
dismay 1
divinated 1
do 1
does 1
dragon 1
driven 1
dungeons 2
during 2
each 1
either 1
elemental 1
ends 1
enough 1
equals 1
eventually 1
exorbitantly 1
exposing 1
fades 1
fake 1
fashion 1
fears 1
fetches 1
few 1
fifty 1
fight 1
fights 1
figures 1
finally 1
find 2
fire 1
first 3
focus 1
focusing 1
foil 1
followed 2
footpads 2
for 7
forced 1
forces 1
fortune 2
found 1
frames 1
freecompany 2
friend 2
friends 1
from 4
full 2
funding 1
galerianus 1
garian 16
gate 1
gates 1
gathered 1
gave 1
get 2
giant 1
given 1
gloat 1
go 1
goes 1
gold 1
golden 2
gone 1
grants 1
gratitude 1
great 1
group 1
guard 2
guards 1
guests 1
halls 1
hands 1
harangued 1
has 4
hatred 1
have 4
having 1
hawk 1
he 7
high 2
him 4
hired 1
hiring 2
his 11
hopes 1
hordo 12
horror 1
horse 2
how 1
hypnotized 2
if 1
imbued 1
impales 1
impressed 1
imprisoned 1
in 15
including 1
incomplete 1
ineffective 1
inn 1
insane 1
instructs 1
intelligence 1
intends 1
into 2
is 21
it 8
job 3
join 1
just 2
karela 2
kill 2
killed 2
kills 2
king 11
kingdom 1
kings 2
know 1
knows 2
lady 1
landowner 1
later 3
learns 3
leaves 2
leaving 1
left 1
leopards 2
less 1
letter 1
likeness 1
listening 1
loyal 1
luckily 1
madness 1
magic 4
magical 2
man 2
mansion 3
market 1
marks 1
mass 1
master 1
mastery 1
may 1
means 1
meanwhile 2
meet 1
meeting 2
meets 1
melius 4
mercenaries 3
mercenary 1
message 3
midmorning 1
military 1
mistress 1
money 1
moon 2
more 1
most 1
mostly 1
moving 1
much 1
murderers 1
nemedia 4
nemedian 2
never 1
next 2
night 1
noble 2
not 6
noticed 1
novel 1
now 1
of 52
off 1
often 1
old 2
on 3
one 3
opens 1
ophir 1
or 1
out 6
over 4
own 2
page 1
paid 1
pair 1
palace 9
part 1
passages 1
patron 2
people 1
per 1
perception 1
pick 1
picks 1
pieces 1
placate 1
place 1
plan 1
plot 1
plotting 1
pocketing 1
poet 1
point 1
possessed 1
power 1
practicing 1
previous 1
printing 1
process 1
promptly 1
prophecy 2
punishment 2
pursued 1
quests 1
quit 1
rampant 1
real 2
reality 1
reasoning 1
rebel 1
rebels 1
receives 1
recover 1
red 1
regiment 1
rejected 1
released 2
replaced 1
request 1
rescue 1
rescued 2
rest 1
returning 1
returns 1
ride 1
rides 1
rise 2
room 1
ruler 1
rushing 1
same 1
sculptor 2
sculpture 1
secret 1
sedition 1
see 1
seems 1
sees 2
selling 1
sells 1
sends 1
sent 1
sephana 1
sephano 1
servants 1
sets 1
several 1
shortly 1
should 1
shout 1
sign 4
signal 1
silver 1
simalcrum 5
six 1
skills 3
slain 2
smashing 1
smuggler 3
so 1
some 2
someone 1
sophisticated 1
sparring 1
spend 1
spirits 1
split 2
spread 1
starvation 1
stephano 5
still 1
stillopen 1
stories 1
story 1
streets 1
such 1
summoning 2
sword 8
swordsmen 1
takes 1
taras 3
tariffs 1
tavern 3
teaches 1
techniques 1
telling 1
tells 1
that 14
the 125
their 4
them 5
then 3
thereafter 1
these 1
thestians 3
thestis 4
they 8
this 3
though 1
thought 1
three 1
throne 1
through 5
thwarted 1
thwarts 2
time 2
to 42
token 1
tortured 1
town 2
traces 1
traitor 1
traitors 2
tries 1
true 1
trying 1
turncoat 1
turns 4
unknowing 1
unknown 1
unrest 1
unsafe 1
unsuccessful 1
up 8
upon 1
uprising 4
used 1
uses 2
usurping 1
vegentius 6
venture 1
vowing 1
walls 1
was 4
way 2
well 1
were 2
what 1
when 1
where 2
which 2
while 2
who 7
whole 1
wielder 1
winds 1
with 8
within 1
wizard 1
wolves 3
worried 1
would 1
wow 1
wraps 1
