12480401
/m/02w84tm
/m/02w84tm
Dan Simmons
1992
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 1
ability 1
able 1
after 1
and 10
another 1
appears 1
as 2
be 1
behaviour 1
blind 1
bremen 6
burning 1
by 1
cannot 1
character 1
commenting 1
communicate 1
contact 1
deaf 1
death 1
disabled 1
disclosed 1
embarking 1
end 1
experiences 1
exposed 1
familiarity 1
find 1
finds 1
for 1
from 3
gail 1
have 1
he 4
hear 1
himself 1
his 5
home 1
horrifying 1
how 1
however 1
humanity 2
increasing 1
initially 1
is 6
isolation 1
jeremy 1
journey 1
leaves 1
levels 1
life 2
malicious 1
minds 1
mute 1
narrating 1
neurobabble 1
not 1
novel 2
of 6
on 1
peace 1
people 1
possessions 1
presence 1
previous 1
progresses 1
read 1
robby 2
searches 1
severely 1
shield 1
solitude 1
story 1
such 1
that 1
the 6
thoughts 1
to 6
towards 1
transposed 1
unable 1
until 1
unwanted 1
upon 1
violent 1
which 1
who 1
wife 3
with 3
without 1
