3377902
/m/098g1q
/m/098g1q
Pierre Christin
1983

11th 2
28th 2
a 34
ability 1
able 2
about 2
above 2
across 2
act 1
acts 1
admits 1
against 1
agent 1
agrees 1
air 1
alarm 1
alberic 5
aldebaran 1
all 1
also 2
an 3
and 22
apathy 1
appearance 1
arcturus 1
are 3
arelaune 1
army 1
around 1
arrive 1
arrives 2
arriving 2
as 7
assistant 1
astroport 1
at 5
attacked 1
avoid 1
back 3
barren 1
be 1
beasts 2
become 3
becomes 1
bed 1
been 1
before 2
beneath 1
bird 1
book 2
borrowed 1
branch 1
branches 1
break 1
breathe 1
bringing 1
bubbles 1
building 1
bursts 1
but 6
by 7
cage 2
can 1
canopy 1
carnivorous 1
casting 1
castle 2
casts 2
causes 2
caves 2
cell 1
centre 1
century 4
chamber 1
chambers 2
changed 1
changes 1
charm 2
chief 5
chooses 1
circle 1
clear 2
climbs 1
come 1
comes 1
completing 1
confirms 1
confusion 2
connects 1
conquest 1
consciousness 1
contact 1
contamination 1
continue 1
corrupted 1
countryside 1
created 1
creature 1
cross 1
crowned 1
crystal 1
dead 1
decided 1
defeat 1
discovers 2
disturbances 1
does 1
donkey 2
dream 9
dreams 1
dungeons 1
earth 1
emperor 2
enable 1
encamped 1
entering 1
entourage 1
equipment 1
erected 1
escape 2
escapes 1
everyone 2
everything 1
explains 1
fading 1
falcon 1
fed 1
find 2
finds 4
first 2
floor 1
follow 1
following 3
for 3
forbidden 1
forest 6
form 1
france 1
free 1
freeing 1
from 6
future 1
galaxity 7
galaxy 2
geoffrey 2
gets 1
giant 2
girl 2
gives 1
gone 1
goodbye 1
govern 1
guards 1
guide 1
had 1
has 11
have 1
havoc 1
he 18
head 2
heading 1
her 3
herself 1
him 8
himself 1
his 12
holidays 1
home 1
horse 1
how 1
however 1
human 1
humanity 1
in 13
informed 1
innkeeper 1
inside 1
interrupted 1
into 9
introduces 1
introducing 1
investigate 1
is 17
it 2
its 1
itself 1
jirad 2
journey 1
jump 1
knocked 1
knows 1
labyrinth 1
land 1
landscape 1
languishing 1
late 1
later 1
laureline 11
leaf 2
leak 1
leave 1
leaves 2
lies 1
light 1
litter 1
live 1
locking 1
loses 1
lost 2
magical 1
make 2
makes 1
making 1
man 1
managed 1
manages 1
marsh 4
meanwhile 1
meeting 1
melt 1
menagerie 1
minds 1
mnemotechnical 1
monsters 3
morning 2
moves 1
next 2
nightmare 1
nightmares 2
normal 3
not 1
now 2
nursing 1
of 28
off 1
offers 1
old 3
on 4
one 5
onto 1
orders 1
out 1
party 1
passage 2
passages 1
peasant 1
peasants 1
penetrate 1
people 4
period 1
plans 1
plants 1
poisonous 2
powerful 1
prepare 1
prevent 1
programmes 1
projectors 2
protective 2
pursuing 1
put 1
raft 1
raised 1
read 1
reeds 1
reflects 1
regaining 1
relay 3
repairs 2
report 1
required 1
responsible 1
retained 1
return 2
returns 2
reunited 1
reveals 1
ring 1
roof 1
ruined 1
sabotaged 1
same 1
says 1
search 1
secret 1
seem 1
separated 1
serious 1
servant 1
service 5
sets 2
she 3
shows 1
shrivel 1
sighs 1
sitting 1
slip 1
so 1
somehow 1
soon 1
sorcery 1
sore 1
spacetime 1
spatiotemporal 9
spell 5
spells 1
spider 1
spread 1
state 1
station 2
still 1
stolen 2
stuck 1
such 1
suggest 1
sun 3
surprised 1
switch 1
sword 1
take 2
taking 3
talk 1
technocrats 1
tells 1
temporal 1
terrorise 1
that 15
the 87
their 4
them 1
they 12
time 2
timeline 1
to 43
too 2
torment 1
trail 2
transform 1
transformation 1
transformed 1
transforming 1
transport 3
trapped 2
travel 1
traveling 2
trees 1
turn 1
turned 1
two 1
unconscious 1
uncovers 1
underground 1
unhappy 1
unicorn 3
up 3
uses 1
using 3
valerian 1
valrian 19
various 1
visit 1
voyage 1
wage 1
waking 1
war 1
was 1
water 1
weak 1
webs 1
week 1
welcomes 1
when 5
where 3
which 1
while 1
who 5
with 6
wizard 2
workshop 1
wrapped 1
wreaking 1
written 1
xombul 20
young 2
