20975319
/m/05b5r7k
/m/05b5r7k
Christopher Tolkien
2009-05-05
a 104
able 2
abode 1
accompanies 1
accompanying 1
according 1
accuses 1
accusing 1
acknowledge 1
adder 1
adders 2
addition 1
addresses 1
addressing 1
adds 4
admits 1
advice 4
advises 3
aesir 4
afire 1
after 14
aftermath 1
again 7
against 4
age 1
ages 1
aghast 1
agrees 4
ale 1
all 7
alliance 1
allies 1
allow 1
almost 1
alone 2
alongside 1
already 4
also 7
although 23
always 1
among 3
amusement 1
an 10
ancient 3
and 188
andvari 4
anew 1
angrily 1
anguish 4
announce 1
announces 2
another 3
any 1
anyone 1
apart 1
apocalyptic 1
appears 2
appeased 1
approach 1
approaches 3
are 22
arent 1
armored 1
army 1
around 1
arrange 1
arrayed 1
arrival 2
arrive 2
arrived 1
arrives 6
as 72
asgard 2
ashes 1
ask 1
asking 1
asks 4
assistance 1
asunder 1
at 35
atli 48
atonement 1
attacker 1
attempt 1
attempts 3
attire 1
attiring 1
avenge 3
avert 1
averted 1
avoid 1
await 2
awaited 3
awakening 1
awakens 3
away 2
back 4
baldur 1
barred 1
bathe 1
bathed 1
battle 6
be 33
beach 1
beaker 2
bearded 1
bears 2
beast 1
beauteous 1
beautiful 1
beauty 2
bed 4
been 13
beer 1
before 7
begin 1
begun 1
being 1
beiti 2
belches 1
belied 1
believing 2
below 1
beside 1
besieged 1
best 1
betrothed 1
better 3
between 3
bewailing 1
bind 1
birds 3
birth 1
birthing 1
black 1
blade 2
blame 2
blazing 2
blissfully 1
blood 8
bloodied 1
boasts 3
bodies 1
body 1
bold 1
born 1
borrows 1
both 9
bought 1
bound 1
bower 2
branded 1
brandishes 1
break 3
breaks 1
breast 1
breath 1
brew 1
brews 2
bride 1
bring 2
bristling 1
broken 4
brother 14
brotherhood 2
brothers 11
brought 1
brynhild 42
built 1
burgundian 1
burned 2
burning 1
but 5
buys 1
by 36
cackles 1
call 2
calling 1
calls 4
came 1
can 4
cannot 1
captives 2
carefully 1
carnage 1
carried 3
carven 1
cast 4
casting 1
casts 2
catch 1
catches 2
caught 2
cause 1
causing 1
caution 1
cautioning 1
cave 4
caves 1
ceiling 1
celebrate 1
center 1
certain 3
chains 1
chambers 1
champions 1
chance 1
changing 1
chants 1
charge 2
chest 2
child 1
choose 1
chosen 1
circle 1
cities 1
citing 1
claim 4
claims 1
clamours 1
clashes 1
clear 1
clearly 1
climb 1
coasts 1
coat 1
cold 4
colored 1
column 1
come 4
comes 2
comfort 2
coming 8
command 1
commenting 5
comments 4
commit 1
common 1
complication 1
conceal 1
conducts 1
confounded 1
confronted 1
considered 1
consumes 1
continues 6
converse 1
corpse 1
corpses 1
corslet 2
could 1
counsel 1
counselor 1
counsels 4
countryside 1
court 6
courtiers 1
covered 1
coverlet 1
coveting 2
coward 1
cowardice 1
cradles 1
created 1
creation 1
criticises 1
cruel 1
cry 1
crying 1
cup 2
curse 5
curses 6
cut 1
cutting 1
danger 1
dangers 1
dares 2
darkness 1
daughter 2
dawn 4
day 3
days 5
dead 5
dealt 1
dearly 1
death 13
deathless 1
decides 1
deciding 1
declare 1
declares 9
declaring 1
deep 1
deeply 3
defeated 1
defend 2
defenders 1
delivered 2
delivers 3
demand 1
demands 6
demon 1
depart 5
departs 6
depicts 1
descendant 1
descent 1
deserted 1
deserves 1
desire 1
desires 4
despite 4
destination 1
destined 1
determined 2
detesting 1
devastated 4
devour 1
did 1
die 3
dies 1
different 1
disappear 1
disgrace 1
disgusted 1
dissipates 1
disturbing 1
do 2
doctor 1
dog 1
doom 2
doomed 2
doors 1
doorways 1
down 3
dozens 1
dragging 1
dragon 7
dragons 1
drains 5
drawn 3
draws 2
dream 3
dreams 3
drink 3
drinks 2
drive 1
drives 2
driving 1
drowned 1
drunk 2
dungeon 1
during 3
dwarf 2
dwell 1
dying 2
each 1
early 1
ears 1
ease 1
eat 3
edge 1
effortlessly 1
eightlegged 1
eitil 3
eitill 1
elder 1
elects 1
elvish 1
emissary 1
empire 2
empty 1
enchanted 1
encountered 1
endeth 1
ends 1
enraged 8
entered 1
enters 5
entitled 1
erp 4
escapes 1
eternal 2
evaded 1
even 1
evening 2
eventually 3
ever 1
every 2
evil 5
exactly 1
exchange 1
explains 3
explodes 1
expresses 1
extorts 1
eyes 1
eyesight 1
face 1
faces 2
fadeth 1
fafnir 14
fail 1
falcon 1
falleth 1
falls 5
far 4
fashions 1
fatal 1
fate 3
fated 1
fates 1
father 12
favors 1
fearing 1
feast 10
fed 1
