4081329
/m/0bh23d
/m/0bh23d
Darren Shan
2002
a 14
about 1
after 2
again 3
against 1
ago 1
alone 1
also 2
and 24
appearance 1
are 4
around 1
arrival 1
as 6
at 1
attacks 1
attend 1
back 4
be 2
beats 1
begins 1
being 1
betraying 1
between 1
big 1
bring 1
but 8
by 4
changed 1
charges 1
chase 1
city 1
claiming 1
claims 1
come 1
comes 1
contemplating 1
continue 1
convince 1
crepsley 5
darren 18
day 1
days 1
debbie 4
desire 1
discovered 1
does 1
doesnt 1
down 1
dropped 1
education 1
encounter 1
encounters 1
enemy 1
english 1
explanation 1
face 1
few 1
fight 2
finish 2
first 1
followed 1
follows 1
for 7
forced 1
friend 1
friends 1
from 1
funeral 1
gannen 2
generals 1
girlfriend 1
given 1
go 2
going 1
had 1
halfvampaneze 1
hands 1
harkat 2
harst 1
has 3
he 3
hell 1
help 1
helps 1
him 4
himself 1
his 14
hometown 1
hooked 2
hooks 1
hostage 2
hotel 1
however 1
hunt 1
hunters 1
if 2
immediately 1
in 1
inform 1
investigate 1
investigations 1
is 7
it 1
joins 3
kill 2
known 1
later 2
leave 2
leaving 1
led 1
lets 1
long 2
lord 3
luckily 1
make 1
many 1
mask 1
middle 1
most 1
mountain 2
mr 5
mrcrepsley 1
nails 1
night 2
now 2
of 4
off 2
old 2
on 1
once 1
one 1
only 1
or 2
other 1
paris 1
perhaps 1
police 1
previously 1
princes 1
pursue 1
real 1
reggie 1
revealed 1
reveals 1
righteous 1
room 1
rv 3
saga 1
saved 1
scattering 1
school 2
second 1
send 1
set 1
sewers 1
shan 2
she 1
shows 1
side 1
skyle 1
slicing 1
soon 4
stands 1
staying 1
steve 8
stopped 1
subjects 1
surrounded 1
take 1
teacher 1
team 1
territories 1
that 2
the 24
their 3
them 6
there 1
they 3
this 1
threat 1
three 1
through 1
to 19
trap 1
tries 1
trouble 1
true 1
trust 1
tunnels 1
understandably 1
understands 1
unluckily 1
up 1
uses 1
vampaneze 14
vampet 1
vampets 1
vampire 3
vancha 4
veggie 1
vengeance 1
visit 1
warning 1
way 1
ways 1
who 2
will 2
with 6
wrapped 1
