20098501
/m/04y8p4y
/m/04y8p4y
Isaac Asimov
1988
a 25
abandoned 1
able 1
acts 1
actually 1
adventure 1
after 2
afterwards 1
again 2
alert 1
alien 1
all 6
allowing 1
allows 2
almost 1
alone 1
also 1
amnemonic 1
an 1
and 47
anonymity 1
anticipated 1
apartment 2
apparently 2
approve 1
are 6
area 1
ariel 11
around 1
arrives 2
as 3
assignment 1
assume 1
at 2
attempt 1
attempting 1
attempts 1
automated 1
avery 13
avoid 1
away 2
back 2
balance 1
be 5
become 1
been 1
before 2
begin 2
being 7
belief 1
best 1
bit 1
bizarre 1
blood 1
board 1
both 1
bottom 1
brains 1
break 1
broken 1
brought 1
building 1
but 8
buys 1
by 5
can 4
cant 2
capture 1
captured 1
caught 1
central 1
certainly 1
chamber 2
chemfets 3
cities 2
city 11
clear 1
clearly 1
colonizing 1
commit 1
companion 1
compass 4
complete 1
completion 1
computer 2
condition 3
continue 1
continues 2
control 1
conversation 1
convince 2
convinces 1
covers 1
crew 1
crime 1
currently 1
custody 2
david 2
dealing 1
debark 1
deceiving 1
decide 3
decided 1
decides 1
defect 1
derec 19
derek 4
descend 2
despite 1
deteriorate 1
deteriorated 1
didnt 2
difficulty 1
dining 1
disappears 1
distract 1
does 1
doesnt 1
down 3
dr 12
drive 1
driver 1
due 1
during 2
ease 1
easily 1
encountered 1
end 1
enrages 1
enter 1
enters 2
entire 2
escape 2
euler 1
even 2
eventual 1
eventually 1
every 1
everywhere 1
executed 2
exit 2
facility 2
fakes 1
farm 1
field 3
fields 2
filled 1
finally 2
find 6
finds 2
finish 1
first 2
floor 1
food 1
for 7
from 6
function 1
furthermore 1
gain 1
general 1
get 1
getaway 1
gets 1
good 1
ground 1
group 1
grown 1
had 5
hall 1
halts 1
happy 1
harmed 1
harming 1
has 4
have 6
having 1
he 11
help 1
her 3
hide 1
hiding 1
him 3
his 4
however 1
human 2
humans 1
hunter 4
hunters 6
immediately 2
in 14
inflicted 1
information 1
inhabitant 1
injected 2
instead 1
interrupt 1
into 9
invading 1
is 16
it 11
its 2
itself 1
jeff 7
jump 1
key 1
keys 1
king 1
kisses 1
lair 2
land 2
landing 2
lands 1
laws 1
leading 1
learn 1
learns 1
leave 1
leaving 1
left 1
let 1
like 1
likenesses 1
location 1
longer 1
looks 1
luck 1
make 3
makes 3
mandelbrot 14
maze 2
medieval 1
meeting 1
met 2
migration 6
most 1
move 2
moving 1
must 2
name 1
near 4
needed 1
no 2
nonhuman 1
normal 1
not 2
noticed 1
now 2
obtains 1
obviously 1
odd 1
of 24
off 1
offer 1
on 6
once 3
only 5
or 1
orbit 5
order 2
other 1
others 2
out 2
over 1
own 1
performed 1
perihelion 2
physically 1
placed 1
plague 1
plan 1
planet 2
planets 1
pocket 1
point 2
population 1
positronic 2
power 1
process 2
produces 1
programmed 1
programming 6
pursued 1
push 1
putting 1
quickly 2
raised 1
real 1
recalls 1
relationship 2
remember 1
reminiscent 1
remove 1
repair 1
reported 1
restrain 1
return 1
returned 1
returns 1
revealed 1
risk 1
robot 19
robotics 1
robots 13
rogue 1
ruler 1
run 2
save 1
search 2
see 1
seeing 1
seems 1
sending 1
several 1
she 6
ship 1
shown 1
shuts 1
since 3
situation 1
skeleton 1
slide 1
small 1
so 4
some 1
son 1
soon 3
spacecraft 1
split 1
spot 1
stop 1
subdue 1
swerves 1
symptoms 1
take 1
taken 2
tasks 1
terminal 1
that 9
the 68
their 7
them 10
themselves 1
there 2
they 21
this 5
though 1
three 2
through 1
time 4
times 1
tired 1
to 35
top 1
tower 4
trail 1
transport 1
truck 2
try 1
turns 1
two 1
unable 1
up 1
updated 1
upon 3
uppermost 1
use 2
useful 1
vehicle 1
vent 1
via 1
wait 2
waiting 1
way 3
were 2
what 2
where 2
which 3
while 4
will 1
with 8
within 1
without 1
wolruf 9
woods 1
work 3
worse 1
worsening 1
would 3
