5257205
/m/0db5tc
/m/0db5tc
Wilkie Collins

{"/m/0dwly": "Children's literature", "/m/014dfn": "Speculative fiction", "/m/01qxvh": "Romance novel", "/m/02n4kr": "Mystery", "/m/02ql9": "Epistolary novel", "/m/02xlf": "Fiction", "/m/04rjg": "Mathematics", "/m/0c3351": "Suspense"}
184 1
20000 1
6 1
a 12
about 1
accompanied 1
accounts 1
acted 1
advises 1
after 4
against 1
agents 1
allow 1
also 3
an 6
and 28
anne 12
apparently 1
are 2
arrives 1
art 1
as 6
astonishing 1
asylum 4
at 2
attempts 2
aunt 1
authority 1
bargaining 1
battle 1
be 1
bears 1
becomes 2
been 2
begins 1
believing 1
belongs 1
betrayed 1
blackwater 2
bribes 1
brotherhood 2
bully 1
buried 1
but 3
by 3
called 1
catches 1
catherick 5
child 2
chip 1
church 2
completely 1
comprises 1
conceal 1
condition 1
confession 1
confronting 1
convinced 1
count 1
crawls 1
cumberland 2
day 1
days 1
death 1
december 1
deep 1
delusion 1
departs 1
despite 1
destroy 1
determined 2
devoted 2
did 1
dies 1
difficulties 1
disadvantaged 1
discover 1
discovered 2
discovers 3
dispatch 1
distress 1
document 1
drawing 1
dressed 2
drugged 1
dubbed 1
earlier 1
either 1
england 2
enough 1
entitled 1
entry 2
escaped 1
escapes 1
estate 2
evening 1
expedition 1
fairlie 5
fall 1
falls 1
family 1
father 2
fever 1
financial 2
finds 1
fire 1
first 1
flames 1
for 5
force 1
forged 1
forget 1
fosco 8
frederick 2
friend 2
from 7
glyde 11
had 3
halcombe 2
halfsister 1
hampshire 1
hampstead 1
hartright 10
has 6
haste 1
have 1
having 1
he 8
heart 1
heir 1
helps 1
hence 1
her 9
highranking 1
him 3
hired 1
his 7
honduras 2
honeymoon 1
hoping 1
house 2
household 1
however 1
identity 3
if 1
ill 1
illegitimacy 1
illegitimate 2
in 17
inherit 1
inheritance 1
into 4
investigate 1
is 13
it 1
italian 2
italy 1
job 1
joining 1
knew 1
knowing 1
known 1
lady 2
language 1
late 1
later 2
laura 20
lawyer 1
learn 1
learns 2
leave 1
leaves 1
letter 1
limmeridge 4
live 1
lived 1
living 1
london 4
love 2
loves 1
many 1
marian 8
marriage 3
married 2
marries 1
marry 2
master 1
meets 2
member 1
mentally 1
misgivings 1
months 1
mother 3
mr 2
murdered 1
mysterious 1
never 1
next 1
niece 1
north 1
not 1
now 1
nurse 1
obscure 1
of 11
old 1
on 3
one 1
only 2
onto 1
or 1
out 1
over 1
overlooking 1
parents 1
park 1
percival 3
percy 1
perishes 1
pesca 2
placed 1
plot 1
poverty 1
power 1
professor 1
promised 1
property 1
protect 1
quickly 1
rain 1
realize 1
recommended 1
recovers 1
register 2
resemblance 2
residents 1
responsible 1
restore 1
restored 1
resume 1
return 2
returned 1
returning 1
roof 1
safely 1
secret 5
secretly 1
sending 1
settlement 2
several 1
she 6
shocked 1
shortly 1
shutting 1
signing 1
since 1
sir 3
sister 1
soaked 1
society 1
some 2
something 1
son 1
spoke 1
students 1
suffering 1
summer 1
supposedly 1
switched 1
tails 1
teacher 1
terms 1
that 11
the 28
their 3
then 1
therefore 1
they 2
this 1
three 1
time 3
title 1
to 31
together 1
travel 1
travelling 1
travels 1
tricked 1
turns 1
typhus 1
unlawful 1
unsuccessfully 1
use 1
using 1
vestry 1
visits 1
walking 1
walter 7
warning 1
was 5
way 1
weakness 1
welmingham 1
when 3
which 5
while 3
whilst 1
white 3
who 3
will 2
with 2
woman 2
would 1
written 1
years 1
young 1
