26137677
/m/0b6jnlp
/m/0b6jnlp
John Ringo
2008-08-05
a 7
adventures 1
after 1
agricultural 1
and 3
assists 1
bandit 1
behind 1
bird 1
by 1
chaos 1
city 1
commands 1
company 2
control 1
depot 1
discusses 1
disease 1
east 1
efforts 1
equipment 1
flu 1
following 1
forces 1
from 1
guard 1
he 3
his 2
home 1
in 3
iran 1
is 1
journey 1
leads 1
left 1
major 1
middle 1
military 2
mutated 1
of 4
operation 1
outbreak 1
protagonist 1
recovery 1
regain 1
repeat 1
return 1
six 1
stryker 1
ten 1
that 1
the 4
thousand 1
time 1
to 3
us 3
where 1
withdrawal 1
worldwide 1
