8979259
/m/027s2b2
/m/027s2b2
T. R. Pearson

{"/m/01z4y": "Comedy"}
a 7
about 1
accepts 1
affections 1
alluringas 1
ambitiousand 1
an 2
and 7
around 1
as 3
assortment 1
away 2
bald 1
be 1
beguiling 1
being 1
benton 6
bonnie 1
but 1
cipher 1
claude 1
clerk 1
clippings 1
clyde 1
colored 1
comes 1
convenience 1
crew 1
crime 1
crimes 1
criminal 1
dangerous 1
denizens 1
development 1
digging 1
disinter 1
disinterring 1
drives 1
effect 1
elderly 1
elizabeth 5
ellwyn 1
ends 1
fancy 1
firesheets 4
for 4
form 1
from 2
gangly 1
grandmomma 1
graveyards 1
had 1
has 1
he 3
her 3
herself 1
him 1
holding 1
holes 1
horsefaced 1
in 3
inscrutable 1
insists 1
is 2
jane 5
jeeter 1
jimmy 3
job 1
lures 1
lynch 6
make 1
meets 1
milky 1
motley 1
moved 1
mr 2
nature 1
nephew 1
of 4
off 1
on 2
only 1
order 1
overhill 2
parts 2
petty 1
pictures 1
plum 1
prove 1
raeford 1
reason 1
relocating 1
remarkable 1
renegade 1
riffraff 1
room 1
sending 1
shooting 1
side 1
some 1
south 1
spree 1
store 1
stores 1
take 1
takes 2
that 4
the 7
this 1
thus 1
to 8
trouble 1
two 1
unintended 1
up 1
when 1
whim 1
white 1
who 1
whose 1
wins 1
with 1
